kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
11599038,1,K01437.01,CAND,-,-,0.819,0.896,No,left_only
4466677,2,K01338.02,CAND,-,-,0.817,0.526,No,left_only
10485250,2,-,-,-,0.538,0.814,0.761,No,both
3109930,1,K01112.01,CAND,-,-,0.814,0.795,No,left_only
5219234,3,K01563.03,CAND,-,-,0.813,0.644,No,left_only
11852982,1,K00247.01,CAND,-,-,0.812,0.838,No,left_only
7256914,1,K04136.01,CAND,-,-,0.811,0.949,No,left_only
5384713,1,K03444.01,CAND,-,-,0.809,-,No,both
11568987,2,K00354.02,CAND,-,-,0.805,0.741,No,both
7679812,1,K03943.01,CAND,-,-,0.804,0.864,No,left_only
9896018,2,K02579.02,CAND,-,-,0.804,0.726,No,left_only
8043714,2,-,-,-,0.929,0.803,0.838,No,both
11752906,1,K00253.01,CAND,-,-,0.803,0.795,No,left_only
11853878,2,K01833.02,CAND,-,-,0.802,-,No,left_only
9532710,1,K02364.01,FP,-,-,0.802,0.716,No,left_only
9896018,1,K02579.01,CAND,-,-,0.8,0.887,No,left_only
7386827,1,K01704.01,CAND,-,-,0.799,0.81,No,left_only
8078502,1,K03383.01,CAND,-,-,0.798,0.923,No,left_only
4164922,1,K03864.01,CAND,-,-,0.797,0.668,No,left_only
8552202,1,K00914.01,CAND,-,-,0.796,-,No,left_only
12120943,1,K01458.01,CAND,-,-,0.793,0.748,No,left_only
11821363,1,K01494.01,CAND,-,-,0.792,0.8,No,left_only
7983117,1,K03214.01,CAND,-,-,0.791,-,No,left_only
10587105,3,K00339.03,CAND,-,-,0.791,0.55,No,left_only
9405595,1,K02125.01,CAND,-,-,0.787,0.822,No,left_only
10713616,1,K01311.01,CAND,-,-,0.784,0.648,No,left_only
5601258,1,K02191.01,CAND,-,-,0.784,0.8,No,left_only
8558011,1,K00577.01,CAND,-,-,0.784,0.777,No,left_only
9595686,1,K00944.01,CAND,-,-,0.783,0.767,No,left_only
3663173,1,K02750.01,CAND,-,-,0.783,0.616,No,left_only
10875007,1,K04149.01,CAND,-,-,0.781,0.76,No,left_only
9269281,1,K01398.01,CAND,-,-,0.781,-,No,left_only
8578780,1,K02023.01,CAND,-,-,0.778,0.888,No,left_only
8505920,1,K02094.01,CAND,-,-,0.777,0.835,No,left_only
11030711,1,K01429.01,CAND,-,-,0.776,0.585,No,left_only
11074178,2,K01889.02,CAND,-,-,0.775,0.896,No,left_only
9579641,3,K00115.03,CAND,-,-,0.774,-,No,left_only
4770365,1,K01475.01,CAND,-,-,0.773,0.832,No,left_only
7733731,1,K04022.01,CAND,-,-,0.771,0.944,No,both
9267996,1,K03431.01,FP,-,-,0.771,-,No,left_only
5953297,1,K02733.01,CAND,-,-,0.767,0.865,No,left_only
12469800,1,K02543.01,CAND,-,-,0.764,0.679,No,left_only
6198182,1,K02636.01,CAND,-,-,0.764,0.782,No,left_only
4951877,1,K00501.01,CAND,-,-,0.761,0.841,No,left_only
10877367,2,-,-,-,-,0.758,-,No,left_only
9517393,1,K02076.01,CAND,-,-,0.758,0.491,No,left_only
9772531,1,K00950.01,CAND,-,-,0.757,0.77,No,both
10350571,2,K01175.02,CAND,-,-,0.757,0.785,No,left_only
8261920,3,K02174.03,CAND,-,-,0.755,0.549,No,left_only
5629353,1,K06132.01,CAND,-,-,0.755,-,No,both
7202957,2,K02687.02,CAND,-,-,0.754,0.952,No,left_only
