kepid,tce_plnt_num,kepoi_name,koi_disposition,DT
9602613,1,K02612.01,CANDIDATE,0.675
5544450,1,K03226.01,CANDIDATE,0.675
2161536,1,K02130.01,CANDIDATE,0.674
7463685,1,K02890.01,CANDIDATE,0.674
10122538,5,K02926.05,CANDIDATE,0.673
9661979,1,K02132.01,CANDIDATE,0.673
9588822,2,K04388.02,CANDIDATE,0.672
7768451,1,K01527.01,CANDIDATE,0.67
9635606,1,K02535.01,CANDIDATE,0.67
6441738,1,K01246.01,CANDIDATE,0.67
9715925,2,,,0.669
3561464,2,K03398.02,CANDIDATE,0.669
4912991,2,,,0.669
5963582,1,K02479.01,CANDIDATE,0.668
4385148,1,K02942.01,CANDIDATE,0.668
4164922,1,K03864.01,CANDIDATE,0.668
1571511,2,,,0.666
4069213,2,,,0.664
8845026,2,,,0.663
5980783,1,K02967.01,CANDIDATE,0.662
5384713,3,K03444.03,CANDIDATE,0.661
9834731,1,K03043.01,CANDIDATE,0.661
5374838,1,K05155.01,CANDIDATE,0.66
4939265,3,,,0.659
11548140,1,K00256.01,FALSE POSITIVE,0.658
10186945,2,,,0.657
11138155,1,K00760.01,CANDIDATE,0.656
10351231,1,K01166.01,CANDIDATE,0.656
10923260,2,,,0.656
8189801,1,K02480.01,CANDIDATE,0.655
5773121,1,K04002.01,CANDIDATE,0.652
2719873,2,,,0.651
5705819,1,K02091.01,CANDIDATE,0.649
10713616,1,K01311.01,CANDIDATE,0.648
8617363,1,K02945.01,CANDIDATE,0.648
9017682,1,K01630.01,CANDIDATE,0.648
10252275,2,K03130.02,CANDIDATE,0.646
5621333,1,K03341.01,CANDIDATE,0.646
9457728,1,K04637.01,CANDIDATE,0.646
7375348,2,K00266.02,CANDIDATE,0.645
5219234,3,K01563.03,CANDIDATE,0.644
3734868,2,,,0.643
8241079,1,K03020.01,CANDIDATE,0.642
5131180,1,K00641.01,CANDIDATE,0.641
8880123,1,K03493.01,CANDIDATE,0.641
9886224,2,,,0.641
7017274,1,K03209.01,CANDIDATE,0.641
3122913,1,K02490.01,CANDIDATE,0.636
10028140,1,K01591.01,CANDIDATE,0.636
6183511,1,K02542.01,CANDIDATE,0.635
3554031,2,K01194.02,FALSE POSITIVE,0.635
7749773,1,K02848.01,CANDIDATE,0.634
8074805,2,,,0.633
11071200,1,K02696.01,CANDIDATE,0.633
10155029,1,K03208.01,CANDIDATE,0.632
7879433,1,K02527.01,CANDIDATE,0.632
10345478,2,,,0.632
10386922,1,K00289.01,CANDIDATE,0.631
11013201,2,K00972.02,FALSE POSITIVE,0.631
5475042,1,K03050.01,CANDIDATE,0.63
11856178,1,K06246.01,CANDIDATE,0.629
7605600,2,,,0.629
4676964,1,K03069.01,CANDIDATE,0.627
5092266,1,K03045.01,CANDIDATE,0.627
3218908,4,,,0.626
9472074,1,K02735.01,CANDIDATE,0.625
9283156,1,K02657.01,CANDIDATE,0.625
5881120,1,K04156.01,CANDIDATE,0.621
3545135,1,K02755.01,CANDIDATE,0.62
5003670,1,K04524.01,CANDIDATE,0.619
12120307,3,K02597.03,CANDIDATE,0.618
4919550,1,K04766.01,CANDIDATE,0.617
3663173,1,K02750.01,CANDIDATE,0.616
9654468,1,K02417.01,CANDIDATE,0.615
8824737,1,K03347.01,CANDIDATE,0.615
5098444,2,,,0.615
2975770,2,K01788.02,FALSE POSITIVE,0.614
3629967,1,K01901.01,CANDIDATE,0.614
8022489,1,K02674.01,CANDIDATE,0.614
5308537,1,K04409.01,CANDIDATE,0.608
5780885,2,,,0.607
10074466,1,K01917.01,CANDIDATE,0.606
1724719,2,K04212.02,CANDIDATE,0.606
6523351,1,K03117.01,CANDIDATE,0.606
11177543,1,K01648.01,CANDIDATE,0.605
12208631,1,K02449.01,CANDIDATE,0.602
7120108,1,K02325.01,CANDIDATE,0.602
5792202,4,K00841.04,FALSE POSITIVE,0.602
4548011,2,K04288.02,CANDIDATE,0.601
12406807,1,K03091.01,CANDIDATE,0.601
5966810,1,K03909.01,CANDIDATE,0.599
11192235,1,K02329.01,CANDIDATE,0.599
4150390,2,,,0.596
9011877,1,K05597.01,CANDIDATE,0.595
12602314,1,K02853.01,CANDIDATE,0.595
7609674,1,K03128.01,CANDIDATE,0.594
5979863,2,,,0.593
4157325,4,K01860.04,FALSE POSITIVE,0.592
8892910,2,,,0.591
9166700,1,K05632.01,CANDIDATE,0.591
6871071,4,K02220.04,CANDIDATE,0.589
3634051,1,K06103.01,FALSE POSITIVE,0.587
11124436,1,K04442.01,CANDIDATE,0.586
6975129,3,K01628.03,FALSE POSITIVE,0.586
4650733,1,K01659.01,CANDIDATE,0.585
11967788,2,K04021.02,CANDIDATE,0.585
6268648,3,K01613.03,CANDIDATE,0.585
11030711,1,K01429.01,CANDIDATE,0.585
5031857,2,K01573.02,CANDIDATE,0.584
3098810,1,K01878.01,CANDIDATE,0.584
7826659,1,K02686.01,CANDIDATE,0.584
7219825,3,K00238.03,CANDIDATE,0.58
1872821,1,K02351.01,CANDIDATE,0.579
5270698,2,,,0.578
8540376,1,K07892.01,CANDIDATE,0.577
8684730,1,K00319.01,CANDIDATE,0.575
7106173,1,K03083.01,CANDIDATE,0.575
10813078,1,K05831.01,CANDIDATE,0.575
7137725,1,K01699.01,FALSE POSITIVE,0.574
9411317,2,,,0.574
9071593,2,K02257.02,CANDIDATE,0.573
7446631,1,K02598.01,CANDIDATE,0.572
7661065,1,K02307.01,CANDIDATE,0.571
10788461,1,K03925.01,CANDIDATE,0.571
5003670,2,K04524.02,CANDIDATE,0.569
10514430,4,,,0.568
11200405,2,,,0.567
11818607,1,K02467.01,CANDIDATE,0.567
7289577,1,K01974.01,CANDIDATE,0.566
8013419,1,K00901.01,CANDIDATE,0.566
3862246,2,,,0.565
4857058,1,K03061.01,CANDIDATE,0.565
11081504,1,K04287.01,CANDIDATE,0.565
2973386,1,K03034.01,CANDIDATE,0.565
6049190,1,K01685.01,CANDIDATE,0.564
5211199,2,K02158.02,CANDIDATE,0.563
9957627,1,K00592.01,CANDIDATE,0.563
3834322,2,,,0.562
5035972,2,,,0.561
10744342,4,,,0.558
10141900,2,K01082.02,CANDIDATE,0.558
5621333,2,K03341.02,CANDIDATE,0.557
5906694,1,K04069.01,CANDIDATE,0.556
10597693,1,K02958.01,CANDIDATE,0.555
3231341,5,,,0.555
10152836,2,,,0.555
