kepid,plnt num,kname,dispos,GB_vif,DT
8581240,1,K03111.01,CAND,-,0.699
10158418,1,K01784.01,CAND,-,0.699
8321314,1,K02293.01,CAND,-,0.699
9758089,1,K01871.01,CAND,-,0.696
10141900,1,K01082.01,CAND,-,0.694
5384713,2,K03444.02,FP,-,0.69
6185476,1,-,-,-,0.69
3761319,1,K06104.01,CAND,-,0.689
11771430,1,K02582.01,CAND,-,0.689
8934495,1,K00524.01,CAND,-,0.689
3756264,1,K03108.01,CAND,-,0.687
11462341,1,K02124.01,CAND,-,0.686
11297236,1,K01857.01,CAND,-,0.686
12121570,1,K02290.01,CAND,-,0.685
12456063,1,K04329.01,CAND,-,0.685
8230809,2,-,-,-,0.682
6467363,1,K02840.01,CAND,-,0.682
5905822,1,K02801.01,CAND,-,0.682
7364176,1,K00373.01,CAND,-,0.679
8494542,1,K02204.01,CAND,-,0.679
8591693,1,K02123.01,CAND,-,0.679
12469800,1,K02543.01,CAND,-,0.679
7750419,1,K01708.01,CAND,-,0.679
6707908,1,K02014.01,CAND,-,0.678
7256914,2,K04136.02,CAND,-,0.678
9451127,2,-,-,-,0.678
8158429,1,K05482.01,CAND,-,0.677
5031857,1,K01573.01,CAND,-,0.676
9602613,1,K02612.01,CAND,-,0.675
5544450,1,K03226.01,CAND,-,0.675
2161536,1,K02130.01,CAND,-,0.674
7463685,1,K02890.01,CAND,-,0.674
10122538,5,K02926.05,CAND,-,0.673
9661979,1,K02132.01,CAND,-,0.673
9588822,2,K04388.02,CAND,-,0.672
7768451,1,K01527.01,CAND,-,0.67
9635606,1,K02535.01,CAND,-,0.67
6441738,1,K01246.01,CAND,-,0.67
9715925,2,-,-,-,0.669
3561464,2,K03398.02,CAND,-,0.669
4912991,2,-,-,-,0.669
5963582,1,K02479.01,CAND,-,0.668
4385148,1,K02942.01,CAND,-,0.668
4164922,1,K03864.01,CAND,-,0.668
8845026,2,-,-,-,0.663
5384713,3,K03444.03,CAND,-,0.661
9834731,1,K03043.01,CAND,-,0.661
5374838,1,K05155.01,CAND,-,0.66
4939265,3,-,-,-,0.659
11548140,1,K00256.01,FP,-,0.658
11138155,1,K00760.01,CAND,-,0.656
10351231,1,K01166.01,CAND,-,0.656
8189801,1,K02480.01,CAND,-,0.655
2719873,2,-,-,-,0.651
5705819,1,K02091.01,CAND,-,0.649
10713616,1,K01311.01,CAND,-,0.648
8617363,1,K02945.01,CAND,-,0.648
9017682,1,K01630.01,CAND,-,0.648
10252275,2,K03130.02,CAND,-,0.646
5621333,1,K03341.01,CAND,-,0.646
9457728,1,K04637.01,CAND,-,0.646
5219234,3,K01563.03,CAND,-,0.644
8241079,1,K03020.01,CAND,-,0.642
5131180,1,K00641.01,CAND,-,0.641
8880123,1,K03493.01,CAND,-,0.641
7017274,1,K03209.01,CAND,-,0.641
3122913,1,K02490.01,CAND,-,0.636
10028140,1,K01591.01,CAND,-,0.636
6183511,1,K02542.01,CAND,-,0.635
