kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif
7295373,2,,,0.6248085758039816
11706658,5,,,0.6248085758039816
10604335,3,,,0.6200731619351848
3757778,2,,,0.6180284009055361
9006186,4,K02169.04,CANDIDATE,0.6142857142857143
6867588,1,K02571.01,CANDIDATE,0.611193936151917
9117416,2,K03425.02,CANDIDATE,0.611193936151917
10350571,2,K01175.02,CANDIDATE,0.6107796610169491
9580992,1,K02217.01,CANDIDATE,0.6107625373213521
5942949,1,K02525.01,CANDIDATE,0.605790169449107
8415004,4,,,0.6057516339869282
11599038,1,K01437.01,CANDIDATE,0.6057516339869282
5042210,1,K02462.01,CANDIDATE,0.6057516339869282
8263545,1,K02822.01,CANDIDATE,0.6057516339869282
9071593,2,K02257.02,CANDIDATE,0.6057516339869282
8558011,1,K00577.01,CANDIDATE,0.6057516339869282
3970233,2,,,0.6057516339869282
3761319,1,K06104.01,CANDIDATE,0.6057516339869282
5384713,3,K03444.03,CANDIDATE,0.6057516339869282
6707908,1,K02014.01,CANDIDATE,0.6057516339869282
7879433,1,K02527.01,CANDIDATE,0.6057516339869282
9579641,3,K00115.03,CANDIDATE,0.6057516339869282
7547306,3,,,0.6054333764553687
10525049,1,K04252.01,CANDIDATE,0.6049382716049383
5475042,1,K03050.01,CANDIDATE,0.6015478852947689
9898017,1,K04484.01,CANDIDATE,0.6015478852947689
9391817,1,K05663.01,CANDIDATE,0.5999275231020113
11030475,3,K02248.03,CANDIDATE,0.5980629539951573
5990753,1,K06645.01,FALSE POSITIVE,0.5971964450077709
8074805,2,,,0.5907928388746803
5629353,1,K06132.01,CANDIDATE,0.5835010060362174
3102000,2,,,0.5835010060362174
8800954,1,,,0.5833777579061409
8087812,1,K04343.01,CANDIDATE,0.5796454841432533
9140402,1,K00928.01,CANDIDATE,0.5796454841432533
11700604,7,,,0.5783132530120483
6936046,4,,,0.5763642234420406
7202957,1,K02687.01,CANDIDATE,0.5728038507821901
10412044,3,,,0.5706685404537242
8447096,4,,,0.5706685404537242
5450893,1,K02970.01,CANDIDATE,0.5704575339076207
6211812,1,K02638.01,CANDIDATE,0.5704575339076207
11967788,1,K04021.01,CANDIDATE,0.5704575339076207
8073771,4,,,0.5691056910569106
10711066,4,,,0.5691025792015074
9006186,3,K02169.03,CANDIDATE,0.5671296296296297
6383785,2,K00239.02,CANDIDATE,0.5624616054136518
9715925,2,,,0.5620800955556032
10616571,1,K00340.01,FALSE POSITIVE,0.561582330446103
11517719,2,,,0.5502958211080865
8177179,2,,,0.5495303159692569
9517393,1,K02076.01,CANDIDATE,0.5470802492954947
9532710,1,K02364.01,FALSE POSITIVE,0.5470802492954947
6500206,2,,,0.5470802492954947
10020423,2,,,0.546919969591342
