kepid,tce_plnt_num,kepoi_name,koi_disposition,CANDIDATE,CONFIRMED,FALSE POSITIVE,y_pred
10026136,1,K07274.01,FALSE POSITIVE,1.3352993809668515e-05,4.187092894302613e-07,0.9999862282969009,FALSE POSITIVE
10026457,1,K07275.01,FALSE POSITIVE,1.2565256218518491e-05,8.311591130625708e-09,0.9999874264321903,FALSE POSITIVE
10031409,1,K07276.01,FALSE POSITIVE,9.194863505102924e-06,9.517993172786272e-07,0.9999898533371776,FALSE POSITIVE
10031526,1,K07277.01,FALSE POSITIVE,0.00020196144038817784,1.6189043712834352e-07,0.9997978766691747,FALSE POSITIVE
10031808,1,K07278.01,FALSE POSITIVE,4.087635466214414e-06,1.1674885861982002e-08,0.9999959006896479,FALSE POSITIVE
10053138,1,K07279.01,CANDIDATE,0.9999778695868469,1.8028202680920583e-06,2.0327592885049422e-05,CANDIDATE
10063044,1,K07280.01,FALSE POSITIVE,6.772258298115532e-05,2.42753446692524e-07,0.9999320346635721,FALSE POSITIVE
10091257,1,K07284.01,FALSE POSITIVE,0.00019967832269847082,5.037435732882525e-07,0.9997998179337282,FALSE POSITIVE
10093664,1,K07285.01,FALSE POSITIVE,5.604601078133734e-05,1.750410282148182e-07,0.9999437789481905,FALSE POSITIVE
10095512,1,K07286.01,FALSE POSITIVE,7.657833067238719e-06,3.3892119940031995e-08,0.9999923082748128,FALSE POSITIVE
10129482,1,K07288.01,FALSE POSITIVE,0.0019936161894648706,5.407917162724125e-08,0.9980063297313634,FALSE POSITIVE
10155080,1,K07289.01,FALSE POSITIVE,0.000307398016477313,6.31091364140025e-06,0.9996862910698813,FALSE POSITIVE
10156064,1,K07290.01,FALSE POSITIVE,2.854361480286912e-05,1.5950245656873803e-07,0.9999712968827407,FALSE POSITIVE
10163067,1,K07291.01,CANDIDATE,0.999861816234864,0.00013583214056234237,2.351624573511123e-06,CANDIDATE
10164018,1,K07292.01,FALSE POSITIVE,4.3949193807935365e-06,7.588110250262092e-06,0.999988016970369,FALSE POSITIVE
10189523,1,K07293.01,FALSE POSITIVE,0.0004962141990222808,6.487830679235871e-08,0.999503720922671,FALSE POSITIVE
10198109,1,K07294.01,FALSE POSITIVE,3.2175595099093765e-05,9.23441393757988e-09,0.999967815170487,FALSE POSITIVE
10208759,1,K07295.01,FALSE POSITIVE,6.004150611587415e-07,1.2824365389511234e-07,0.999999271341285,FALSE POSITIVE
10214328,1,K07296.01,FALSE POSITIVE,4.715280994655754e-05,0.00021918063344212585,0.9997336665566112,FALSE POSITIVE
10215422,1,K07297.01,FALSE POSITIVE,3.392582676732612e-05,2.007583635379262e-08,0.9999660540973964,FALSE POSITIVE
10258558,1,K07299.01,FALSE POSITIVE,6.382631583217615e-06,4.5842375214802074e-08,0.9999935715260416,FALSE POSITIVE
10264202,1,K07300.01,FALSE POSITIVE,4.442103177843969e-05,4.596867334191757e-07,0.9999551192814881,FALSE POSITIVE
10264293,1,K07301.01,CANDIDATE,0.9999818937963119,1.2352623137472587e-05,5.753580550612277e-06,CANDIDATE
10268809,1,K07302.01,FALSE POSITIVE,4.75177468228509e-06,4.548439167598611e-09,0.9999952436768785,FALSE POSITIVE
10274244,1,K07303.01,FALSE POSITIVE,2.3888306785514648e-05,1.3552563395242329e-07,0.9999759761675805,FALSE POSITIVE
10275887,1,K07304.01,FALSE POSITIVE,6.184166181765162e-07,3.930305031213927e-08,0.9999993422803314,FALSE POSITIVE
10292465,1,K07307.01,FALSE POSITIVE,0.00046692250051712204,3.1445932886544652e-06,0.9995299329061943,FALSE POSITIVE
10294608,1,K07308.01,FALSE POSITIVE,6.969532163676777e-05,5.215735650280869e-08,0.9999302525210066,FALSE POSITIVE
10296163,1,K07309.01,FALSE POSITIVE,8.366280458732197e-05,2.464907369568987e-08,0.9999163125463391,FALSE POSITIVE
10330495,1,K07310.01,FALSE POSITIVE,5.469164498858823e-06,5.4055908003210495e-08,0.9999944767795932,FALSE POSITIVE
10332789,1,K07311.01,FALSE POSITIVE,1.3205336246200917e-06,1.453043235927548e-07,0.9999985341620518,FALSE POSITIVE
10340228,1,K07312.01,FALSE POSITIVE,0.0010017419092673372,1.6361804836412426e-07,0.9989980944726844,FALSE POSITIVE
10341787,1,K07313.01,FALSE POSITIVE,0.0009541797388253635,4.855522744396064e-06,0.9990409647384303,FALSE POSITIVE
10342097,1,K07314.01,FALSE POSITIVE,0.0001594414925556268,8.626356043680182e-05,0.9997542949470076,FALSE POSITIVE
10345862,1,K07315.01,FALSE POSITIVE,8.756867243491649e-05,1.781084894434431e-07,0.9999122532190755,FALSE POSITIVE
10346522,1,K07316.01,FALSE POSITIVE,3.1557491998646694e-06,6.603580101900935e-08,0.9999967782149991,FALSE POSITIVE
10352603,1,K07317.01,FALSE POSITIVE,6.075062335693106e-06,6.029931606116514e-09,0.9999939189077328,FALSE POSITIVE
10363300,1,K07318.01,FALSE POSITIVE,0.00012075825681346311,1.359080293513865e-06,0.999877882662893,FALSE POSITIVE
10396708,1,K07320.01,CANDIDATE,0.9999997602579406,4.6818829909260056e-08,1.9292322952892048e-07,CANDIDATE
10407047,1,K07321.01,FALSE POSITIVE,0.0006845142015290242,3.5127784768132803e-07,0.9993151345206233,FALSE POSITIVE
10407430,1,K07322.01,FALSE POSITIVE,0.00021706780236422076,1.3489257513132504e-06,0.9997815832718845,FALSE POSITIVE
10407464,1,K07323.01,FALSE POSITIVE,0.0005369641091845525,4.095683857975782e-07,0.9994626263224298,FALSE POSITIVE
10417704,1,K07324.01,FALSE POSITIVE,0.00044124889066506973,3.6392460434191785e-06,0.9995551118632915,FALSE POSITIVE
10420279,1,K07325.01,FALSE POSITIVE,6.071896418125923e-05,8.67167536160077e-09,0.9999392723641434,FALSE POSITIVE
10422852,1,K07326.01,FALSE POSITIVE,2.109542593564982e-05,1.673924827629726e-08,0.999978887834816,FALSE POSITIVE
10450504,1,K07327.01,CANDIDATE,0.9999989706944427,1.2310575763368132e-07,9.061997997472847e-07,CANDIDATE
10454401,1,K07328.01,FALSE POSITIVE,3.9330018934260184e-05,2.0590215114310614e-09,0.9999606679220443,FALSE POSITIVE
10462826,1,K07329.01,FALSE POSITIVE,2.8895930582965192e-05,1.5819890483146996e-07,0.9999709458705122,FALSE POSITIVE
10468514,1,K07331.01,CANDIDATE,0.9999708359632428,9.773627844276657e-07,2.8186673972807652e-05,CANDIDATE
10471113,1,K07332.01,CANDIDATE,0.009596802539159833,2.143023495213095e-06,0.990401054437345,FALSE POSITIVE
10481054,1,K07333.01,FALSE POSITIVE,1.0944599827412877e-05,7.815620492316744e-07,0.9999882738381234,FALSE POSITIVE
10486425,1,K07334.01,FALSE POSITIVE,3.876420879756763e-05,3.113256368443081e-10,0.9999612354798768,FALSE POSITIVE
10490960,1,K07335.01,FALSE POSITIVE,7.847246579548232e-06,1.6702495915767605e-08,0.9999921360509244,FALSE POSITIVE
10491031,1,K07336.01,FALSE POSITIVE,8.044303011759205e-08,3.3374434046530826e-08,0.9999998861825359,FALSE POSITIVE
10535807,1,K07337.01,FALSE POSITIVE,8.323001536319879e-06,2.869097835668312e-08,0.9999916483074853,FALSE POSITIVE
10535858,1,K07338.01,FALSE POSITIVE,0.0008275085702967375,4.7365605541593733e-07,0.999172017773648,FALSE POSITIVE
10546063,1,K07339.01,CANDIDATE,0.6767428477308948,1.4162906509804893e-05,0.3232429893625953,CANDIDATE
10547685,1,K07340.01,FALSE POSITIVE,0.0010142238680951954,4.4643609851603846e-07,0.9989853296958062,FALSE POSITIVE
10549576,1,K07341.01,FALSE POSITIVE,2.0958625247667455e-05,4.0425203827629245e-09,0.999979037332232,FALSE POSITIVE
10552700,1,K07342.01,FALSE POSITIVE,2.644746420554743e-05,2.567437830733964e-08,0.999973526861416,FALSE POSITIVE
10556578,1,K07343.01,FALSE POSITIVE,0.00010861584509470994,4.8108840150343846e-06,0.9998865732708903,FALSE POSITIVE
10583181,1,K07344.01,FALSE POSITIVE,0.0013369937205154878,7.450177259370644e-07,0.9986622612617585,FALSE POSITIVE
10586619,1,K07345.01,CANDIDATE,0.9999831143801627,6.832561185744766e-07,1.6202363718737205e-05,CANDIDATE
10592163,1,K07346.01,FALSE POSITIVE,8.612139097346281e-06,1.8424918775465168e-07,0.9999912036117148,FALSE POSITIVE
10601538,1,K07348.01,FALSE POSITIVE,2.1216129636083535e-07,6.198556566851958e-05,0.9999378022730352,FALSE POSITIVE
10601579,1,K07349.01,FALSE POSITIVE,2.5210631113122987e-07,4.804019693694481e-08,0.999999699853492,FALSE POSITIVE
10613718,1,K07350.01,FALSE POSITIVE,1.5228004417611661e-05,5.034675026454744e-05,0.999934425245318,FALSE POSITIVE
10619109,1,K07351.01,FALSE POSITIVE,3.8261860644568245e-05,1.0219561098501866e-08,0.9999617279197943,FALSE POSITIVE
