kepid,tce_plnt_num,kepoi_name,bDT
6509328,2,,1.0
6387450,2,,1.0
6451876,1,,1.0
6544977,1,,1.0
6421188,3,,1.0
6438216,1,,1.0
6302655,1,,1.0
6211547,3,,1.0
6284209,2,,1.0
6195556,1,,1.0
6195670,1,,1.0
6116129,2,,1.0
6307077,1,,1.0
6307077,2,,1.0
6277610,1,,1.0
6307077,3,,1.0
6307077,4,,1.0
6141791,1,,1.0
6123324,1,,1.0
6123324,2,,1.0
6182093,2,,1.0
6580131,2,,1.0
6595662,2,,1.0
6585979,1,,1.0
7553237,4,,1.0
7456230,1,,1.0
7456230,2,,1.0
7456230,4,,1.0
7516354,1,,1.0
7448051,6,,1.0
7516354,4,,1.0
7547306,3,,1.0
7448573,1,,1.0
7373255,1,,1.0
7505345,3,,1.0
7429287,1,,1.0
7339348,6,,1.0
7373877,2,,1.0
7289157,2,,1.0
7429287,5,,1.0
7549852,2,,1.0
7523115,1,,1.0
7455287,5,,1.0
7215607,2,,1.0
7259911,3,,1.0
7129465,3,,1.0
7294135,1,,1.0
7350038,1,,1.0
6586052,1,,1.0
7552344,2,,1.0
6715434,2,,1.0
6664482,1,,1.0
6603756,2,,1.0
6675944,1,,1.0
6750902,2,,1.0
6762829,5,,1.0
6762923,1,,1.0
6762923,2,,1.0
6666233,2,,1.0
6668646,1,,1.0
6762923,3,,1.0
6762923,4,,1.0
6784170,2,,1.0
6804957,1,,1.0
6763132,1,,1.0
6614168,2,,1.0
6606653,3,,1.0
6698670,2,,1.0
6778063,1,,1.0
6614926,2,,1.0
6670894,1,,1.0
6470973,2,,1.0
6522823,1,,1.0
5615202,2,,1.0
5893839,2,,1.0
5298620,2,,1.0
5299459,3,,1.0
5372966,2,,1.0
5308851,1,,1.0
5427596,1,,1.0
5353738,1,,1.0
5355850,1,,1.0
5370302,2,,1.0
6067817,4,,1.0
6038860,1,,1.0
6070714,3,,1.0
6522800,5,,1.0
5960484,6,,1.0
5989921,4,,1.0
6034185,2,,1.0
