kepid,plnt num,kname,dispos,GB_vif_cap2,LR
7102227,3,K01360.03,CAND,-,0.544
10397751,4,K02859.04,CAND,-,0.544
10924400,2,-,-,-,0.544
12164634,3,-,-,-,0.544
7582608,4,-,-,-,0.543
6268648,3,K01613.03,CAND,-,0.543
9086251,1,K02367.01,CAND,-,0.543
5450893,1,K02970.01,CAND,-,0.543
8880123,1,K03493.01,CAND,-,0.541
7032429,5,-,-,-,0.54
6677841,3,-,-,-,0.54
6300348,1,K00212.01,CAND,-,0.54
5357545,1,K02219.01,CAND,-,0.539
5544450,1,K03226.01,CAND,-,0.538
6632435,2,-,-,-,0.538
10351231,1,K01166.01,CAND,-,0.537
9009953,1,K04014.01,CAND,-,0.536
6441738,1,K01246.01,CAND,-,0.536
10922659,1,K03335.01,CAND,-,0.534
6775034,5,-,-,-,0.534
8013419,1,K00901.01,CAND,-,0.534
8260218,1,K01066.01,CAND,-,0.533
9117416,1,K03425.01,CAND,-,0.532
10813078,1,K05831.01,CAND,-,0.532
7100673,5,K04032.05,CAND,-,0.532
5008245,1,K03770.01,CAND,-,0.531
6268648,4,-,-,-,0.531
4945266,2,-,-,-,0.531
9491205,3,-,-,-,0.531
9092504,2,K02716.02,CAND,-,0.53
8874090,2,K01404.02,CAND,-,0.53
7035274,3,-,-,-,0.53
7939330,1,K01581.01,CAND,-,0.527
4912650,1,K05098.01,CAND,-,0.526
10345478,2,-,-,-,0.524
5724810,1,-,-,-,0.524
8935810,1,K01395.01,CAND,-,0.523
8707670,5,-,-,-,0.523
4385148,1,K02942.01,CAND,-,0.521
9166700,1,K05632.01,CAND,-,0.521
8265218,1,K00522.01,CAND,-,0.52
6636320,1,K02989.01,CAND,-,0.52
7768451,1,K01527.01,CAND,-,0.52
5613821,1,K02915.01,CAND,-,0.518
12069786,3,-,-,-,0.517
8524712,3,-,-,-,0.517
9758089,2,K01871.02,CAND,-,0.516
6183511,1,K02542.01,CAND,-,0.516
8456679,1,K00102.01,CAND,-,0.514
8702921,3,-,-,-,0.513
8008067,3,K00316.03,CAND,-,0.512
8240861,3,-,-,-,0.512
8760040,2,K02963.02,CAND,-,0.512
9490506,2,-,-,-,0.511
5372081,7,-,-,-,0.51
8758204,1,K02841.01,CAND,-,0.509
7533425,6,-,-,-,0.509
7872212,7,-,-,-,0.507
10187017,6,K00082.06,CAND,-,0.506
4939265,3,-,-,-,0.506
9673338,9,-,-,-,0.505
7117284,2,-,-,-,0.504
