kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif,bLR,mean
7700622,1,K00315.01,CANDIDATE,0.9337044400265077,0.8978510989324067,0.9157777694794571
5792202,3,K00841.03,CANDIDATE,0.9956475412736544,0.8270254168268891,0.9113364790502718
11853878,2,K01833.02,CANDIDATE,0.9146534370646237,0.9070830287830908,0.9108682329238572
4814502,1,K04004.01,CANDIDATE,0.9551462621885156,0.8649848966620733,0.9100655794252945
5035972,2,,,0.9337044400265077,0.8848026452156703,0.909253542621089
4840513,2,,,0.8998685820967078,0.9166591630776944,0.9082638725872011
1026957,1,K00958.01,CANDIDATE,0.9337044400265077,0.8788702159678119,0.9062873279971597
9649222,2,,,0.9956475412736544,0.8144421962830907,0.9050448687783725
8552719,2,K01792.02,FALSE POSITIVE,0.8998685820967078,0.909302867653159,0.9045857248749334
3342592,2,,,0.9337044400265077,0.8639791462110773,0.8988417931187924
6803202,1,K00177.01,CANDIDATE,0.8064968450572564,0.991078092666722,0.8987874688619892
9230021,1,K03429.01,CANDIDATE,0.8064968450572564,0.9897759047032908,0.8981363748802735
10794087,1,K01316.01,CANDIDATE,0.8064968450572564,0.9892027100580424,0.8978497775576494
8321314,1,K02293.01,CANDIDATE,0.914349901713002,0.8803092726504729,0.8973295871817375
8678594,2,K01261.02,CANDIDATE,0.8864682321210752,0.9068714519236089,0.896669842022342
9904006,2,K02135.02,CANDIDATE,0.8064968450572564,0.9852430983636034,0.8958699717104299
8644365,1,K03384.01,CANDIDATE,0.8064968450572564,0.9845727100787446,0.8955347775680005
7938496,1,K00900.01,CANDIDATE,0.8064968450572564,0.9816855727536504,0.8940912089054533
10676824,1,K00599.01,CANDIDATE,0.8064968450572564,0.9789037791449722,0.8927003121011143
8176650,2,,,0.8064968450572564,0.9757764496390876,0.891136647348172
11098013,1,K02712.01,CANDIDATE,0.9337044400265077,0.8463937614770929,0.8900491007518003
11394027,1,K00349.01,CANDIDATE,0.7933162510375691,0.9685945986758944,0.8809554248567317
