"koi_disposition","kepid","kepoi_name","tcet_model_chisq","wst_depth","boot_mesmean","tce_fwm_sra","tce_fwm_pdeco","tce_slogg_sn"
"CANDIDATE",8751933,"K01257.01",68080,96.33,-0.04521,19.415013,-8.594e-05,33.2307692307692
"CANDIDATE",8630788,"K01258.01",67950,91.89,-0.099193,19.607208,0.000397,23.8947368421053
"CANDIDATE",8630788,"K01258.02",65720,54.13,-0.05749,19.607204,0.0002385,23.8947368421053
"CANDIDATE",8630788,"K01258.03",62230,296.5,-0.20501,19.607196,0.0004955,23.8947368421053
"FALSE POSITIVE",8823426,"K01259.01",68070,39.65,-0.31843,19.573206,-0.002076,119.25
"FALSE POSITIVE",8766222,"K01260.01",66550,419,-0.050835,19.759841,-0.002472,79.6666666666667
"CANDIDATE",8678594,"K01261.01",68630,70.13,-0.18337,19.144993,0.0009908,20.25
"CANDIDATE",8678594,"K01261.02",66740,54.3,-0.058492,19.144993,0.0003845,20.25
"FALSE POSITIVE",8703884,"K01262.01",61470,117.3,0.033178,19.795606,0.009956,65.2857142857143
"FALSE POSITIVE",8560840,"K01263.01",68670,529,-0.049129,19.475638,0.0003296,76.5
"CANDIDATE",8612847,"K01264.01",67700,72.37,-0.023088,19.104993,-0.0008642,26.8235294117647
"FALSE POSITIVE",8552583,"K01265.01",68380,10.86,-0.62619,19.260527,0.0009875,26.7058823529412
"CANDIDATE",8547140,"K01266.01",69630,55.33,-0.077545,19.07168,-0.0002375,59.5
"FALSE POSITIVE",8519253,"K01267.01",67110,149.4,0.024808,19.951858,-0.007818,22.7
"CANDIDATE",8813698,"K01268.01",68680,189.6,-0.80318,19.325974,0.001736,26.375
"FALSE POSITIVE",8757910,"K01269.01",73010,12.85,-0.34077,19.569141,0.0005752,14.6666666666667
"CANDIDATE",8564587,"K01270.01",69530,49.31,-0.06577,19.576092,-0.0001902,45.9
"CANDIDATE",8564587,"K01270.02",66830,65.08,-0.039806,19.576097,3.846e-05,45.9
"CANDIDATE",8631160,"K01271.01",117500,3.913,-1.4864,19.617701,-0.0001403,27.7333333333333
"CANDIDATE",8806072,"K01273.01",69080,92.46,-0.19159,19.067726,0.0001878,22.7
"CANDIDATE",8583696,"K01275.01",66700,44.51,-0.44203,19.948111,-0.0005838,33.1538461538461
"CANDIDATE",8804283,"K01276.01",68420,53.11,-0.051872,19.002428,-0.0006119,33.4615384615385
"CANDIDATE",8804283,"K01276.02",65900,35.18,-0.059957,19.002428,-0.0001406,33.4615384615385
"FALSE POSITIVE",8552565,"K01277.01",67740,5.605,-0.36571,19.260241,0.0001782,15.3076923076923
"CANDIDATE",8609450,"K01278.01",69020,82.83,-0.19363,18.978475,-3.173e-05,44.6
"CANDIDATE",8609450,"K01278.02",67050,62.28,-0.18306,18.97848,0.0002864,44.6
"CANDIDATE",8609450,"K01278.03",64640,43.21,-0.13783,18.978485,-4.829e-05,44.6
"CANDIDATE",8609450,"K01278.04",60830,44.91,-0.21774,18.978447,-0.0002054,44.6
"FALSE POSITIVE",8609450,"K01278.05",56700,274.6,-0.90255,18.978547,0.0001979,44.6
"CANDIDATE",8628758,"K01279.01",67840,13.35,-0.029909,19.558143,6.08e-05,36.3333333333333
