"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_num_transits","tce_full_conv","tce_cap_stat","tce_fwm_pdeco","tce_steff_sn","tce_fwm_prao_sn"
"CANDIDATE",12068975,"K00623.03",132.442,72,1,17.73,2.1e-05,55.5833333333333,-0.373246753246753
"CANDIDATE",12068975,"K00623.04",154.407,43,1,6.531,0.0001022,55.5833333333333,1.00256959314775
"CANDIDATE",3541946,"K00624.01",146.856,75,1,27.04,-0.0001527,50.1711711711712,-0.588018018018018
"CANDIDATE",3541946,"K00624.02",131.801,992,1,24.65,-1.066e-05,50.1711711711712,0.804587155963303
"CANDIDATE",3541946,"K00624.03",169.541,25,1,14.03,-0.0003235,50.1711711711712,0.508121827411168
"CANDIDATE",4449034,"K00625.01",142.298,37,1,33.54,-0.002417,30.285046728972,-1.79470198675497
"CANDIDATE",4478168,"K00626.01",143.048,74,1,29.04,6.078e-05,45.5864661654135,0
"CANDIDATE",4478168,"K00626.02",132.83,135,1,2.269,-1.248e-05,45.5864661654135,0
"CANDIDATE",4563268,"K00627.01",137.415,175,1,27.24,-7.136e-05,45.1935483870968,-4.25609756097561
"CANDIDATE",4563268,"K00627.02",132.038,311,1,13.58,-9.132e-05,45.1935483870968,-2.78482446206115
"CANDIDATE",4644604,"K00628.01",131.549,95,1,24.77,-0.0001482,49.8620689655172,-1.06111111111111
"CANDIDATE",4656049,"K00629.01",131.871,34,1,18.14,-5.596e-05,30.1361502347418,0.603012048192771
"FALSE POSITIVE",4659405,"K00630.01",135.669,233,1,-25.58,-0.01503,33.5843373493976,36
"CANDIDATE",4742414,"K00631.01",142.866,88,1,444.8,4.406e-05,50.1538461538461,0.0948433734939759
"CANDIDATE",4827723,"K00632.01",135.023,186,1,14.8,-0.0001012,45.8559322033898,0.459929078014184
"CANDIDATE",4841374,"K00633.01",170.603,7,1,21.84,7.908e-05,50.0956521739131,0.308351254480287
"FALSE POSITIVE",4861736,"K00634.01",134.912,213,1,25,-0.004898,33.207650273224,-33.6994219653179
"CANDIDATE",5020319,"K00635.01",137.962,63,1,22.32,6.589e-05,45.2631578947368,1.13741258741259
"FALSE POSITIVE",5090690,"K00636.01",140.601,111,1,1113,0.0006352,24.2913669064748,-0.0347945205479452
"FALSE POSITIVE",5098444,"K00637.01",151.02,49,1,60.34,0.0008263,29.1543209876543,-1.71747572815534
"CANDIDATE",5113822,"K00638.01",148.964,46,1,33.55,0.0007513,46,-1.69214285714286
"CANDIDATE",5113822,"K00638.02",146.568,15,1,24.69,0.0004807,46,-2.23083700440529
"CANDIDATE",5120087,"K00639.01",146.284,72,1,30.76,0.0001573,45.4888888888889,0.27437641723356
"CANDIDATE",5121511,"K00640.01",160.788,44,1,29.99,-5.812e-05,50.2264150943396,-1.61158536585366
"CANDIDATE",5131180,"K00641.01",133.444,94,1,38.53,-0.001372,50.3536585365854,-5.80582524271845
"FALSE POSITIVE",5181817,"K00642.01",132.278,309,1,-66.37,0.006427,33.3966480446927,262.233169129721
"FALSE POSITIVE",5309353,"K00643.01",132.571,948,1,27.41,-3.576e-05,28.5297297297297,-2.76356589147287
"FALSE POSITIVE",5356593,"K00644.01",148.642,30,1,518.8,0.005325,74.8181818181818,8.18852459016393
"CANDIDATE",5374854,"K00645.01",132.183,45,1,13.37,0.0001268,45.5581395348837,0.914019607843137
"CANDIDATE",5374854,"K00645.02",136.853,120,1,15.88,4.164e-05,45.5581395348837,0.938320775026911
"FALSE POSITIVE",5384802,"K00646.01",133.987,442,1,742.7,-0.00105,45.6099290780142,2.99857752489331
"CANDIDATE",5531694,"K00647.01",134.125,265,1,33.27,2.366e-06,45.5378787878788,-0.815503875968992
"CANDIDATE",5531694,"K00647.02",132.806,150,1,4.84,-4.341e-05,45.5378787878788,1.87917485265226
"FALSE POSITIVE",5596440,"K00648.01",140.696,101,1,72.09,4.789e-05,33.2959183673469,-0.306694214876033
"CANDIDATE",5613330,"K00649.01",136.025,60,1,30.86,0.0001419,45.837037037037,0.878349120433018
"CANDIDATE",5613330,"K00649.02",140.69,126,1,5.182,5.439e-05,45.837037037037,2.84115523465704
"CANDIDATE",5786676,"K00650.01",142.857,114,1,52.96,2.934e-05,45.5765765765766,-1.01869158878505
"FALSE POSITIVE",5796186,"K00651.01",161.571,32,1,-84.01,0.1494,71.8095238095238,6.38709677419355
"CANDIDATE",5796675,"K00652.01",134.518,77,1,89.33,0.0004456,50.0283018867925,-4.10432098765432
"FALSE POSITIVE",5893123,"K00653.01",132.48,1186,1,11.28,0.0004739,71.551724137931,18.2151898734177
"CANDIDATE",5941160,"K00654.01",137.25,123,1,20.05,-0.0001765,50.2212389380531,-0.920168067226891
"CANDIDATE",5941160,"K00654.02",135.89,94,1,6.461,-5.528e-05,50.2212389380531,0.728365384615385
"CANDIDATE",5966154,"K00655.01",140.753,50,1,38.17,7.192e-05,45.3684210526316,0.727839335180055
"CANDIDATE",5966154,"K00655.02",176.414,10,1,18.43,0.0001111,45.3684210526316,0.73801652892562
"FALSE POSITIVE",5966660,"K00656.01",131.928,699,1,-91.51,0.01462,66.6930693069307,11.982206405694
"CANDIDATE",6020753,"K00657.01",134.394,257,1,40.84,5.073e-05,50.2258064516129,-0.024944
"CANDIDATE",6020753,"K00657.02",131.951,66,1,31.47,0.0004939,50.2258064516129,-0.100143540669856
"CANDIDATE",6062088,"K00658.01",131.69,428,1,44.1,0,49.7521367521367,0.223380281690141
"CANDIDATE",6062088,"K00658.02",134.643,232,1,34.6,0,49.7521367521367,1.36978579481398
"CANDIDATE",6062088,"K00658.03",133.965,115,1,2.568,0,49.7521367521367,-0.856776947705443
"CANDIDATE",6125481,"K00659.01",134.351,58,1,18.87,2.622e-05,45.8823529411765,0.917598097502973
"CANDIDATE",6267535,"K00660.01",134.106,173,1,39.76,4.987e-05,45.5,-0.738229755178908
"CANDIDATE",6347299,"K00661.01",131.786,75,1,20.61,0.0001885,49.7008547008547,0.528389830508475
"CANDIDATE",6347299,"K00661.02",155.137,43,1,4.906,4.393e-05,49.7008547008547,1.32291666666667
"CANDIDATE",6365156,"K00662.01",140.062,131,1,34.35,-6.35e-05,49.9401709401709,-1.47115044247788
"CANDIDATE",6425957,"K00663.01",132.267,372,1,54.15,0,45.2857142857143,0.612251655629139
"CANDIDATE",6425957,"K00663.02",132.046,48,1,34.99,0,45.2857142857143,-2.02867647058824
"CANDIDATE",6442340,"K00664.01",143.951,101,1,23.4,-6.28e-05,50.104347826087,-0.421536144578313
"CANDIDATE",6442340,"K00664.02",133.589,167,1,13.45,7.388e-06,50.104347826087,-0.724280575539568
"CANDIDATE",6442340,"K00664.03",152.014,53,1,8.641,9.079e-05,50.104347826087,-0.416098707403055
"CANDIDATE",6685609,"K00665.01",135.117,224,1,51,-5.461e-05,49.7310924369748,-0.281264108352144
"CANDIDATE",6685609,"K00665.02",131.956,775,1,21.51,7.783e-05,49.7310924369748,0.419433198380567
"CANDIDATE",6685609,"K00665.03",133.296,348,1,13.47,4.572e-05,49.7310924369748,0.246148867313916
"CANDIDATE",6707835,"K00666.01",151.889,62,1,39.2,-2.545e-05,45.7642276422764,-0.89765306122449
"CANDIDATE",6752502,"K00667.01",131.709,301,1,94.8,-0.0002704,0,2.14425675675676
"FALSE POSITIVE",6805146,"K00668.01",137.349,99,1,1507,0.001179,32.8775510204082,0.507537012113055
"FALSE POSITIVE",6960445,"K00669.01",136.044,270,1,-65.97,-0.0164,37.2434210526316,2.44202898550725
"CANDIDATE",7033671,"K00670.01",133.967,140,1,21.91,8.631e-06,49.7543859649123,-1.12583436341162
"CANDIDATE",7040629,"K00671.01",132.684,313,1,20.66,-4.793e-05,50.1344537815126,-0.375620767494357
"CANDIDATE",7040629,"K00671.02",132.772,165,1,13.49,-4.713e-05,50.1344537815126,-0.0983212996389892
"CANDIDATE",7040629,"K00671.03",144.527,72,1,10.12,4.43e-05,50.1344537815126,-0.779636363636364
"CANDIDATE",7040629,"K00671.04",134.426,105,1,9.34,-8.582e-05,50.1344537815126,0.470046082949309
"CANDIDATE",7115785,"K00672.01",153.845,34,1,39.41,-0.0001923,50.0545454545455,-1.48264462809917
"CANDIDATE",7115785,"K00672.02",140.638,83,1,30.58,0.0002978,50.0545454545455,-2.2921686746988
"FALSE POSITIVE",7115785,"K00672.03",131.831,2295,1,4.979,4.049e-05,50.0545454545455,-0.814788732394366
"CANDIDATE",7124613,"K00673.01",135.451,304,1,35.42,1.016e-05,33.6923076923077,1.78076923076923
"CANDIDATE",7277317,"K00674.01",145.239,40,1,89.87,-3.452e-05,77.4126984126984,0.624765625
"FALSE POSITIVE",7385509,"K00675.01",133.146,788,1,-99.29,-0.006026,28.4658385093168,611.123986095017
"CANDIDATE",7447200,"K00676.01",131.721,166,1,72.44,-9.581e-05,45.4883720930233,-0.993233082706767
"CANDIDATE",7447200,"K00676.02",131.64,500,1,74.77,-0.0001012,45.4883720930233,-1.13783422459893
"FALSE POSITIVE",7466863,"K00677.01",135.17,107,1,21.7,-0.001456,28.6909090909091,-2.70992907801418
"CANDIDATE",7509886,"K00678.01",132.02,321,1,7.668,6.799e-05,45.6637931034483,-1.22560483870968
"CANDIDATE",7509886,"K00678.02",136.35,213,1,5.529,7.559e-05,45.6637931034483,-0.425121555915721
"CANDIDATE",7515212,"K00679.01",158.448,44,1,31.42,4.291e-05,45.8359375,-0.346919431279621
"CANDIDATE",7515212,"K00679.02",139.639,76,1,5.267,-2.539e-05,45.8359375,0.893269230769231
"CANDIDATE",7529266,"K00680.01",134.642,156,1,595.9,8.368e-05,74.3048780487805,-0.831318681318681
"FALSE POSITIVE",7598128,"K00681.01",144.238,28,1,672.5,0,36.5586592178771,0.10364406779661
"CANDIDATE",7630229,"K00683.01",177.519,4,1,26.36,0.0004292,49.9913793103448,-1.01693290734824
"CANDIDATE",7730747,"K00684.01",131.91,330,1,51.87,-6.037e-05,33.0238095238095,0.284545454545454
"CANDIDATE",7764367,"K00685.01",132.838,422,1,36.48,-0.0001809,26.4691358024691,-0.580914512922465
"CANDIDATE",7906882,"K00686.01",171.675,24,1,452.6,0.0009867,50.3513513513514,-2.15
"CANDIDATE",7976520,"K00687.01",134.382,318,1,9.756,3.273e-05,74.6233766233766,-5.54477611940299
"CANDIDATE",8161561,"K00688.01",134.219,409,1,36.92,-9.317e-05,77.3125,0.64404973357016
"CANDIDATE",8361905,"K00689.01",134.784,41,1,20.18,-4.071e-05,30.2459893048128,-0.650837988826816
"FALSE POSITIVE",8409588,"K00690.01",131.607,978,1,117.8,-0.0001277,36.1337209302326,4.07934131736527
"CANDIDATE",8480285,"K00691.01",159.703,46,1,44.26,8.597e-05,50.0504201680672,2.01308411214953
"CANDIDATE",8480285,"K00691.02",144.025,81,1,9.484,3.24e-05,50.0504201680672,1.82030338389732
"CANDIDATE",8557374,"K00692.01",132.447,544,1,24.29,1.485e-05,45.888,-1.46015267175573
"CANDIDATE",8557374,"K00692.02",134.435,256,1,21.73,1.704e-05,45.888,-1.00915492957746
"CANDIDATE",8738735,"K00693.01",146.348,80,1,29.27,0.0001358,42.2535211267606,-0.603964757709251
"CANDIDATE",8738735,"K00693.02",135.741,46,1,14.96,0.0003878,42.2535211267606,-0.274427020506634
"CANDIDATE",8802165,"K00694.01",131.983,80,1,53.11,1.864e-05,45.432,1.38494623655914
"CANDIDATE",8805348,"K00695.01",145.386,45,1,36.81,-8.281e-05,49.904347826087,-0.979772727272727
"CANDIDATE",8869680,"K00696.01",131.956,196,1,5.319,8.896e-05,28.2119815668203,-2.42887473460722
"CANDIDATE",8878187,"K00697.01",132.327,216,1,31.69,0.0001043,50.6695652173913,3.58734939759036
"FALSE POSITIVE",8891278,"K00698.01",134.839,104,1,88.49,-0.01583,28.7323943661972,-8.94520547945205
"FALSE POSITIVE",8908102,"K00699.01",136.706,251,1,212.1,-0.0003865,28.3239436619718,-1.68209718670077
"CANDIDATE",8962094,"K00700.01",142.072,45,1,29.43,1.297e-06,50.2389380530973,-0.41024
