"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",10155029,"K03208.01",1,0.01291,7307,1014.06,0.997,-0.01443,1.503,0.5739,10.42,0,12.982,2.504,5.789e-06,0.33734302709848,26.5338302752294,12.271986970684,7.71600481347774,4.65399972463169,-0.533333333333333,3.37921727395412,-0.738506588579795,0.281019417475728,2.22278481012658
"CANDIDATE",7017274,"K03209.01",1,0.3096,3894,563.13,2.335,-0.0911,1.315,0.9134,26.27,0,2.1545,0.8617,-2.098e-06,9.28578930784581,24.563571143882,14.8626408406127,3.44797435150102,2.23624017155111,1.06666666666667,3.62058823529412,-4.15116279069767,-0.0687868852459016,1.45640826873385
"CANDIDATE",7017274,"K03209.02",2,0.2458,8476,1196.13,2.335,0.03844,-1.601,0.1758,7.789,0,1.5534,0.9982,-1.338e-05,5.51014136447449,16.5441176470588,10.0752008203726,3.44732370433305,2.23621679223766,1.06666666666667,2.852,-2.26710526315789,-0.597321428571429,2.09062350119904
"FALSE POSITIVE",7293937,"K03211.01",1,0.08599,17870,1720.26,1,-0.02838,0.2042,5.173,2.058,0,0,18.43,0,6.59473299195318,23.7264618434093,17.0889370932755,459238.095238095,172026,1.06666666666667,58.3227848101266,493.670886075949,0,205.720338983051
"FALSE POSITIVE",4927734,"K03212.01",1,0.1046,38930,10275.5,2.485,-2.381,1.226,0.0003031,21.15,0,0,0,0,0.00374599101988454,15.9203693017888,4.60228034875922,3.54107264086897,2.1998831067903,0.14,0,0,0,35.3156424581006
"FALSE POSITIVE",5398002,"K03213.01",1,18.38,20080,3151.59,3.746,0.2582,8.568,8.259e-05,2.895,0,0.77103,0.1696,1.944e-05,78.3620689655172,63.598615916955,19.9892023215009,1.97088754347546,1.17249268956896,0.116666666666667,0.625830258302583,-1.37165109034268,0.407547169811321,1.12843347639485
"CANDIDATE",7983117,"K03214.01",1,0.3053,6551,352.58,1.788,-0.06896,2.429,1.434,14.14,0,26.126,-0.1426,-8.396e-05,5.52144607843137,16.403757920035,17.1650793650794,3.38888888888889,2.09994044073853,-0.333333333333333,-0.196148555708391,2.67145421903052,-2.78936877076412,1.42706422018349
"CANDIDATE",7983117,"K03214.02",2,0.4241,3363,124.53,1.788,0.04486,17.61,1.613,134.5,0,16.472,3.232,5.808e-05,6.19453697534977,9.63064608347627,9.06920718353044,3.39094969897067,2.1,-0.333333333333333,2.37647058823529,-1.47094188376753,1.40629539951574,0.289284916201117
"FALSE POSITIVE",3342952,"K03215.01",1,0.05306,22820,2346.96,0.976,0.1655,0.55,0.003397,2.284,0,184.21,-5.81,-9.122e-05,2.82073703935041,13.7734668335419,8.28947368421053,5.84081388390186,3.66609391108751,-0.2,-6.16772823779193,5.18684210526316,-4.87807486631016,40.007662835249
"FALSE POSITIVE",10338279,"K03216.01",1,0.02936,2680,193.22,0.842,-0.04913,2.885,2.248,42.78,0,2.503,-0.09335,3.562e-05,3.6135360470819,31.277926720286,46.9235400361228,5.38831291234684,3.48583799386614,-1.46666666666667,-0.752822580645161,0.550701754385965,0.774347826086957,0.516764705882353
"FALSE POSITIVE",2573108,"K03217.01",1,0.6882,48610,6040.45,4.146,0.08993,3.426,0.6207,9.543,0,15.334,0.535,-3.103e-05,1.87645847632121,21.3234455219624,7.27818259751393,2.66369379412858,1.63481628632053,-0.333333333333333,0.767575322812052,1.99339622641509,-1.72388888888889,0.766871921182266
"FALSE POSITIVE",10191036,"K03218.01",1,0.1102,33370,2961.08,1.049,0.1805,0.6947,0.1073,5.602,0,242.3,-2.519,8.801e-05,3.83234042553191,17.0560138949197,14.3730308758664,5.12791228871631,3.25364803094233,-0.628571428571429,-4.51433691756272,-6.55776892430279,7.72017543859649,1.27706896551724
"FALSE POSITIVE",7985733,"K03219.01",1,0.04414,31090,0,80.53,1.298,0.1987,0.05477,0,0,4800,-12.75,-0.0006726,4.96085997794928,23.3368692226095,12.9404466501241,0,0,0,-14.5381984036488,52.442996742671,-52.546875,137.304609218437
"CANDIDATE",11189311,"K03220.01",1,0.4183,1607,17.56,1.401,0.0157,-2.479,1.618,568.6,0,10.961,0.08987,-8.783e-05,2.33525298231181,68.5552407932011,34.0787401574803,6.49300530631934,4.24154589371981,1.6,1.19507978723404,1.67834793491865,-1.28406432748538,1.38130268199234
"FALSE POSITIVE",6956136,"K03221.01",1,25.36,4049,55.97,2.02,-0.01501,31.29,17.93,134.7,0,3.7389,-0.121,-3.171e-05,40.1324769169008,21.2662473794549,12.7263427109974,2.29272030651341,1.37925086249384,-0.133333333333333,-0.657608695652174,-0.226959064327485,-0.689347826086957,0.7443359375
"FALSE POSITIVE",5556726,"K03223.01",1,0.1452,39430,0,4.928,-0.3709,0.3587,0.02574,0,0,68.504,0.1651,5.563e-05,3.1061433447099,8.75445746306673,9.2212431531317,0,0,0.28,0.488461538461538,-5.69453376205788,4.59752066115703,7.09894736842105
"CANDIDATE",10384298,"K03224.01",1,0.04451,4602,781.21,1.401,-0.1063,1.631,0.7082,6.362,0,34.84,-0.279,0.0001381,2.90580182529335,10.8223684210526,9.78380864765409,3.00069013112491,1.80589010379343,1.06666666666667,-0.2232,-2.74874371859296,3.26477541371158,0.974056603773585
"CANDIDATE",3109550,"K03225.01",1,0.02715,4191,459.8,1.286,0.02518,3.567,0.02324,20.8,0,0,-1.281,0,1.03715738909296,18.7735849056604,11.2268770402612,3.66913248150639,2.18858584416203,0.28,-1.46066134549601,0.200272727272727,0,1.58124238733252
"CANDIDATE",5544450,"K03226.01",1,0.1997,7002,1303.79,1.574,0.03118,0.6334,2.927,9.079,0,17.824,-0.5834,2.627e-05,6.35285815102329,14.0645161290323,13.6178861788618,6.19171546302321,4.08327591606639,0.2,-2.04701754385965,-0.392181069958848,1.06788617886179,1.43878787878788
