"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"CANDIDATE",9896558,"K01718.01",89.34,0.5419,7,1.692,0.0001156,0.524681087077094
"CANDIDATE",9896558,"K01718.02",88.6,0.9339,7,2.037,-0.0003956,1.04106548279689
"FALSE POSITIVE",9899483,"K01719.01",29.38,0.9881,18,-2.863,-0.0003007,24.4890555085258
"CANDIDATE",10015937,"K01720.01",88.49,0.9464,26,2.842,-0.001633,2.36429085673146
"CANDIDATE",10019065,"K01721.01",88.58,0.8632,26,1.3,0.000235,1.1809684053094
"CANDIDATE",10080248,"K01722.01",86.33,0.7061,7,1.081,0.0002585,0.257315946195708
"CANDIDATE",10213902,"K01723.01",88.8,0.8411,7,2.177,0.0001367,1.43117918590013
"CANDIDATE",10214162,"K01724.01",86.86,0.8752,7,1.768,-2.354e-05,1.22060993605509
"CANDIDATE",10905746,"K01725.01",87.89,0.8342,42,3.213,-0.000187,2.18189884649512
"CANDIDATE",8242434,"K01726.01",88.68,0.8546,23,2.483,0.0001375,3.79401530967293
"CANDIDATE",6185331,"K01727.01",88.72,0.6817,7,2.356,-0.000182,5.86266349583829
"CANDIDATE",11820830,"K01728.01",87.67,0.8428,7,1.262,0,125.382003395586
"CANDIDATE",6603756,"K01729.01",87.71,0.2908,7,4.038,-0.004556,172.617995403924
"FALSE POSITIVE",8460600,"K01730.01",89.05,0.2515,7,7.061,0.05802,279.384927340318
"CANDIDATE",8266276,"K01731.01",78.98,0.9126,7,0.9446,-0.0001875,0.31617395274512
"FALSE POSITIVE",8266276,"K01731.02",67.53,0.8108,7,0.4024,-0.001161,0.124563705550453
"CANDIDATE",6869184,"K01732.01",88.33,0.8946,7,2.387,-0.0007417,2.05184275184275
"CANDIDATE",8396405,"K01733.01",88.94,0.7628,7,0.7378,-0.0003977,0.141166077738516
"FALSE POSITIVE",8845574,"K01734.01",77.57,0.904,7,3.102,-0.001762,0.91708906589428
"FALSE POSITIVE",3446451,"K01735.01",76.33,0.9008,5,0.4131,-0.005392,0.519820717131474
"CANDIDATE",6604328,"K01736.01",88.47,0.7758,7,1.519,0.0004376,0.38063768115942
"CANDIDATE",4365645,"K01738.01",81.98,0.9005,18,1.05,6.758e-05,0.452361226180613
"FALSE POSITIVE",6762829,"K01740.01",89.18,0.2338,65,8.695,0.001087,337.029893924783
"FALSE POSITIVE",8180020,"K01741.01",89.99,0.002611,7,3.152,0.02618,220.25819265144
