"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"FALSE POSITIVE",5080652,"K06510.01",8046000,5,-1,-0.0003544
"FALSE POSITIVE",5083252,"K06512.01",3367,5,3.3161e-15,-3.455e-05
"FALSE POSITIVE",5091614,"K06515.01",709400,5,0,-0.002899
"FALSE POSITIVE",5095269,"K06518.01",1894000,5,0,0.0002425
"FALSE POSITIVE",5111801,"K06521.01",12700,13,-1,-2.383e-05
"FALSE POSITIVE",5112198,"K06522.01",2005,5,4.1411e-22,0.0001554
"FALSE POSITIVE",5113809,"K06523.01",4604,5,4.16e-19,0.0001667
"FALSE POSITIVE",5115178,"K06524.01",130900,5,0,0.009533
"FALSE POSITIVE",5125048,"K06528.01",15560,5,1.2473e-24,-8.778e-08
"FALSE POSITIVE",5126627,"K06529.01",7999,14,5.0378e-15,8.303e-05
"FALSE POSITIVE",5164794,"K06531.01",6628,14,-1,3.228e-05
"CANDIDATE",5171707,"K06532.01",10780,5,6.3294e-21,0.0002388
"FALSE POSITIVE",5172274,"K06533.01",781.6,5,2.0744e-28,3.531e-05
"FALSE POSITIVE",5174492,"K06534.01",7998,8,1.0179e-52,-1.672e-05
"FALSE POSITIVE",5174920,"K06535.01",13440,8,-1,7.075e-06
"FALSE POSITIVE",5181455,"K06536.01",891700,5,-1,-0.02333
"FALSE POSITIVE",5193386,"K06537.01",8115000,57,-1,0
"CANDIDATE",5193439,"K06538.01",68.06,5,7.6349e-15,-2.857e-05
"FALSE POSITIVE",5199978,"K06540.01",12870,72,3.183e-36,-0.0002739
"FALSE POSITIVE",5211470,"K06541.01",62080,5,0,8.967e-05
"FALSE POSITIVE",5211470,"K06541.02",6634,5,4.2326e-52,-0.0003895
"FALSE POSITIVE",5216727,"K06543.01",3052000,5,-1,0
"FALSE POSITIVE",5218014,"K06544.01",18560,57,0,0.002233
"FALSE POSITIVE",5255552,"K06545.01",852100,5,-1,-0.0006526
"CANDIDATE",5263167,"K06546.01",2272,5,6.252e-18,-0.0001264
"FALSE POSITIVE",5266937,"K06547.01",19660000,5,-1,0
"FALSE POSITIVE",5269407,"K06548.01",3e+06,5,-1,0
"FALSE POSITIVE",5272571,"K06550.01",6128,18,5.9119e-29,-2.861e-06
"FALSE POSITIVE",5282656,"K06551.01",3835,5,1.2994e-16,0.001471
"FALSE POSITIVE",5284133,"K06552.01",65410000,8,-1,0.009169
"FALSE POSITIVE",5285607,"K06553.01",5767000,5,-1,-0.0005796
"FALSE POSITIVE",5286786,"K06554.01",948.1,5,0,-0.0009199
"FALSE POSITIVE",5288543,"K06555.01",76220000,13,-1,-0.003054
"FALSE POSITIVE",5294739,"K06556.01",30410000,5,-1,-0.03045
"CANDIDATE",5295206,"K06557.01",1083,5,9.7217e-16,-0.0001102
"FALSE POSITIVE",5298620,"K06558.01",636,5,1.2607e-22,0.0001879
"FALSE POSITIVE",5300878,"K06559.01",6386000,5,-1,-0.07999
"FALSE POSITIVE",5306862,"K06561.01",176000,5,-1,-0.003535
"FALSE POSITIVE",5308778,"K06563.01",821.7,57,1.9393e-62,4.369e-05
