"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_pdeco","tce_depth_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",6037581,"K01916.02",74.52,0.05754,9.566e-06,28.88,0.0990269151138716,0.853654822335025
"CANDIDATE",6037581,"K01916.03",1651.1,-0.07435,9.873e-05,15.4111767378464,2.7198347107438,2.12081871345029
"CANDIDATE",10074466,"K01917.01",31.4,-0.01453,-0.0002478,28.7655172413793,-1.57834394904459,0.48719806763285
"FALSE POSITIVE",7369865,"K01918.01",126.51,0.02249,0.00123,23.9170182841069,6.47368421052632,11.7414746543779
"CANDIDATE",8218379,"K01920.01",33.59,-0.03118,0.0001846,36.0700169395821,0.932323232323232,1.24
"CANDIDATE",8218379,"K01920.02",64.67,0.03284,2.106e-05,7.7124394184168,0.171219512195122,0.406396206533193
"CANDIDATE",7755636,"K01921.01",277.14,-0.0003127,6.805e-06,38.4661957618567,0.141770833333333,0.552160839160839
"CANDIDATE",9411166,"K01922.01",1333.67,-0.3775,1.321e-05,30.3327787021631,0.0898639455782313,2.64383116883117
"CANDIDATE",4989057,"K01923.01",112.83,-0.01022,-0.0001502,31.6,-0.843820224719101,0.490213483146067
"CANDIDATE",5108214,"K01924.01",4515.9,-0.3647,0.0009225,13.2150655021834,24.0234375,54.6796296296296
"CANDIDATE",9955598,"K01925.01",6.18,-0.01244,-0.0001422,25.531453362256,-2.48167539267016,0.300697368421053
"CANDIDATE",5770074,"K01928.01",11.12,0.04806,-0.0003543,41.0966212211025,-1.71990291262136,2.17930769230769
"CANDIDATE",10136549,"K01929.01",253.43,-0.04758,-1.644e-05,35.3420597678439,-0.537254901960784,0.0627864077669903
"CANDIDATE",10136549,"K01929.02",1069.2,-0.3496,-1.618e-05,29.3998410174881,-0.856084656084656,0.871800947867299
"CANDIDATE",5511081,"K01930.01",241.87,0.1113,-0.0001767,42.7466150870406,-2.61004431314623,1.53248663101604
"CANDIDATE",5511081,"K01930.02",112.88,-0.08438,-0.0001387,32.7250394806106,-1.62412177985949,0.55294
"CANDIDATE",5511081,"K01930.03",50.52,-0.04704,-5.257e-05,30.2640396729661,-0.457130434782609,3.991643454039
"CANDIDATE",5511081,"K01930.04",404.09,-0.09694,-6.007e-05,20.381861575179,-1.08625678119349,2.20761589403974
"CANDIDATE",10978763,"K01931.01",259.32,0.04974,0.000115,28.2014970665588,1.18312757201646,0.627545454545455
"CANDIDATE",10978763,"K01931.02",164.96,-0.05861,9.887e-05,16.9835466179159,0.950673076923077,1.67510928961749
"CANDIDATE",10978763,"K01931.03",95.15,-0.008249,0.0001512,14.5392749244713,1.21935483870968,1.67917763157895
"CANDIDATE",5202905,"K01932.01",189.84,-0.1371,2.466e-05,38.8164893617021,0.362114537444934,1.41577092511013
"CANDIDATE",5202905,"K01932.02",336.89,-0.1496,-5.548e-05,26.0339090476945,-0.976760563380282,0.992989690721649
"CANDIDATE",9072190,"K01933.01",14.6,-0.02055,-0.0006385,36.5444100751215,-1.95858895705521,0.987054794520548
"CANDIDATE",4242147,"K01934.01",9.1,0.04437,0.000255,31.9305019305019,0.907473309608541,1.31304635761589
"FALSE POSITIVE",5396122,"K01935.01",67.48,-0.05081,-0.003789,37.7687453203551,-2.98346456692913,2.10680412371134
