"koi_disposition","kepid","kepoi_name","tce_ldm_coeff1","tce_ptemp_stat","tce_fwm_pdeco","tce_dikco_mra","tce_dikco_mdec","tce_dikco_msky","tce_sradius_sn","tce_ptemp_sn","tce_dicco_mra_sn","tce_dikco_msky_sn"
"FALSE POSITIVE",9719636,"K03686.01",0.4093232,9.004,0.05656,-0.26312,-0.15574,0.30576,3.20807453416149,27.1796072959234,2.91629441624365,4.25257301808067
"FALSE POSITIVE",2452440,"K03687.01",0.2796428,15.47,0.01719,0.08188,-0.0057488,0.082082,4.10091743119266,29.3142144638404,-74.2242339832869,1.09588785046729
"FALSE POSITIVE",5020034,"K03688.01",0.2652052,-2.305,0.05831,-0.1558,-0.11736,0.19505,3.61167512690355,17.6311851949075,-73.0206611570248,2.8516081871345
"CANDIDATE",7017372,"K03689.01",0.2798248,3.084,-0.0001846,-0.02276,-0.081244,0.084372,3.30379746835443,11.681362962963,-0.239268656716418,1.25928358208955
"FALSE POSITIVE",9715939,"K03690.01",0.28995,3.942,0.004078,-0.0090085,0.03478,0.035928,3.50248756218905,12.4880095923261,-1.91828571428571,0.531479289940828
"FALSE POSITIVE",4751083,"K03691.01",0.3779458,12.97,-0.06506,-0.10681,-0.026281,0.10999,3.02122641509434,22.9820946124914,-4.63979166666667,1.6175
"CANDIDATE",5903301,"K03692.01",0.2836424,-1.733,-0.0005566,-0.077545,-0.079811,0.11128,3.56185567010309,16.6691140479687,-109.443946188341,1.62928257686676
"FALSE POSITIVE",7695087,"K03693.01",0.7129658,-0.63,0.04132,6.9223,-5.0035,8.5412,1.57321547698466,18.4591922946941,2.9619170984456,126.912332838039
"FALSE POSITIVE",6200709,"K03694.01",0.2844828,9.326,-0.003616,-0.12935,0.020192,0.13091,3.43629343629344,26.541997961264,-95.469329529244,1.93082595870206
"FALSE POSITIVE",8043052,"K03695.01",0.531744,11.7,0.0004491,-0.10334,-0.043955,0.1123,7.35779816513762,28.4541040462428,-0.515438335809807,1.64904552129222
"FALSE POSITIVE",5435816,"K03696.01",0.4610516,8.476,-0.001154,-0.16566,0.028491,0.16809,3.03903903903904,10.8415074858028,-0.0383204577968526,2.37751060820368
