"koi_disposition","kepid","kepoi_name","tce_ror","tce_model_snr","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_pdeco","tce_dicco_msky","tce_dor_sn","tce_fwm_sdec_sn"
"FALSE POSITIVE",10258558,"K07299.01",0.39370678,3943,1,2.11,80970,793.6,0,-0.1341,0.01084,0.0044647,2794.71408474334,72012044.1400304
"FALSE POSITIVE",10264202,"K07300.01",0.26878469,-1,1,0.886,91270,254.4,0,-0.05473,-0.0004336,0.014486,-3.4168861,140573664.688427
"CANDIDATE",10264293,"K07301.01",0.012941607,9.284,1,0.03504,225,3.124,0,0.5834,-0.0001378,2.0451,0.144383655583358,104779.473451327
"FALSE POSITIVE",10268809,"K07302.01",0.13367931,616.2,1,1.937,21990,444,0,-0.2067,-0.000112,0.025391,142.488199916302,25303611.2299465
"FALSE POSITIVE",10274244,"K07303.01",0.31945864,-1,1,1.188,181200,5679,0,0.8623,-0.001105,0.015619,-45.851092,754544338.118022
"FALSE POSITIVE",10275887,"K07304.01",0.11224266,-1,1,6.968,390400,581.9,6,0.16,0,0.11325,-6.6170488,112304075.829384
"FALSE POSITIVE",10292465,"K07307.01",0.30109784,1854,1,0.8115,102900,300.9,0,-0.07618,-0.04711,0.44506,349.734411078654,97498989.7119342
"FALSE POSITIVE",10294608,"K07308.01",0.4626802,-1,1,2.018,443300,3572,0,-0.08211,0,0.0058655,-8.3131728,538379625
"FALSE POSITIVE",10296163,"K07309.01",0.72548741,7940,1,2.498,207900,3581,0,0.06612,0.00876,0.010352,961.957181350988,345665094.890511
"FALSE POSITIVE",10330495,"K07310.01",0.22226311,2312,1,2.704,56460,456.7,0,-0.06766,-5.596e-05,0.0034521,1152.54240199938,80144832.7702703
"FALSE POSITIVE",10332789,"K07311.01",0.32844102,3021,1,1.368,122600,610.7,0,0.09543,0.001193,0.0073838,1125.42512780654,53999973.8339022
"FALSE POSITIVE",10340228,"K07312.01",0.0069577316,8.672,1,1.102,60.76,3.334,2,-2.191,0.0001285,0.95318,0.180845411929727,96710.8187372709
"FALSE POSITIVE",10341787,"K07313.01",0.011335293,14.65,1,1.685,93.94,4.245,5,-0.3897,8.44e-05,0.23725,1.05352062341558,193692.620408163
"FALSE POSITIVE",10342097,"K07314.01",0.0062407677,3.964,1,2.198,393.4,3.078,1,-2.593,0.000113,3.6074,0.997487071295819,318773.959731544
"FALSE POSITIVE",10345862,"K07315.01",0.37440411,5075,1,6.872,152600,2633,0,-0.1327,0.04776,0.062225,3768.54822307494,142884798.192771
"FALSE POSITIVE",10346522,"K07316.01",0.19023429,-1,1,7.386,607600,686.5,0,-0.08257,0.007257,0.0043697,-4.8693187,564912345.238095
"FALSE POSITIVE",10352603,"K07317.01",0.5,-1,1,8.079,421600,5509,0,-0.08745,0.09091,0.0076431,-31.244755,302018382.165605
"FALSE POSITIVE",10363300,"K07318.01",0.39898327,3214,1,1.254,133000,1146,0,0,0,0.32681,1723.63186532518,0
"CANDIDATE",10396708,"K07320.01",0.010642846,9.388,1,1.036,113,2.88,0,1.626,0.0001629,1.0795,0.297716344486902,130302.717808219
"FALSE POSITIVE",10407047,"K07321.01",0.0072839501,7.687,1,3.118,196.4,4.36,0,0.4917,-3.914e-05,0.7398,0.921959057709167,466073.794117647
"FALSE POSITIVE",10407430,"K07322.01",0.0068007268,8.111,1,2.62,148.4,3.542,0,-1.081,4.444e-05,2.0889,0.421085159303353,100241.455696203
"FALSE POSITIVE",10407464,"K07323.01",0.002975838,8.582,1,1.87,14.29,3.792,2,-0.3422,5.411e-06,2.0375,0.863745907027689,163327.749140893
"FALSE POSITIVE",10417704,"K07324.01",0.014143519,26.88,1,1.751,337.1,4.133,0,-0.3232,0,0.18814,1.21472842929375,389468.606557377
"FALSE POSITIVE",10420279,"K07325.01",0.5,-1,1,6.041,428000,4018,0,0.01734,0,0.010314,-57.726398,198933200.83682
"FALSE POSITIVE",10422852,"K07326.01",0.187757,-1,1,1.34,55520,226,0,-0.2132,-0.003084,0.04529,-6.3618822,58369460.6879607
"CANDIDATE",10450504,"K07327.01",0.022701794,10.17,1,0.01799,586.9,3.664,0,3.25,-0.00192,0.74604,0.240526387170876,134710.262711864
"FALSE POSITIVE",10454401,"K07328.01",0.5,-1,1,1.734,431700,1896,0,0.2154,-0.002368,0.0046202,-55.715024,193031174.089069
"FALSE POSITIVE",10462826,"K07329.01",0.42673213,2801,1,3.294,100400,865.8,0,-0.1037,0.003976,0.034471,1184.20810096448,55519814.6853147
"CANDIDATE",10468514,"K07331.01",0.059378305,69.16,1,0.4033,6193,18.06,0,0.3031,-0.0008223,0.10129,1.56287679776236,823798.858131488
"CANDIDATE",10471113,"K07332.01",0.0074865696,9.519,1,0.8736,58.35,3.725,2,-3.367,0.0001757,1.3532,0.658551143086395,104182.308533917
"FALSE POSITIVE",10481054,"K07333.01",0.0055980613,8.324,1,0.2817,27.84,3.119,0,2.15,-7.52e-05,3.0277,0.583769582343757,97449.3190184049
"FALSE POSITIVE",10486425,"K07334.01",0.50027581,1394,1,1.777,108200,310.6,0,-0.1015,0.01265,0.033627,103.103725153082,235935405.940594
