"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_sma_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"FALSE POSITIVE",11923819,"K07496.01",4.591,5801,11.39,-0.1266,0.06987,56.1837191934279,3.71197924174715,1.8,-712.340425531915
"FALSE POSITIVE",11959569,"K07497.01",3.528,-1,18.78,-0.01841,0.01474,-0.1,-0.2604,0.56,-580.968858131488
"FALSE POSITIVE",11966557,"K07498.01",2.281,-1,35.23,0.1445,0.04562,-0.1,-0.2955,-0.933333333333334,38.6713286713287
"FALSE POSITIVE",11967004,"K07499.01",1.042,35350,1.039,-0.1191,0.002593,866.404480991539,3.69677493400666,-0.466666666666667,112.647058823529
"FALSE POSITIVE",11968490,"K07500.01",1.094,234900,0.2832,0.01149,-0.0002526,295.275590551181,3.98302604623939,-1,10.4113924050633
"FALSE POSITIVE",11970288,"K07501.01",20.52,13610,1.628,-0.1702,0,234.576589256392,3.30811424248156,-0.6,-11.6829268292683
"FALSE POSITIVE",12004679,"K07502.01",0.8329,-1,-0.4479,-0.1268,-0.00341,-0.1,-0.03386,-1.06666666666667,323.264604810997
"FALSE POSITIVE",12004680,"K07503.01",0.04354,7564,0.3854,0.3601,-0.0009486,0.243890274314215,5.48761367199749,-0.466666666666667,4.96806282722513
"FALSE POSITIVE",12013615,"K07505.01",1.372,-1,-0.9876,0.1054,0.0003915,-0.1,-0.05221,-0.0666666666666667,215.164835164835
"CANDIDATE",12016243,"K07506.01",0.3754,2998,8.853,-1.955,0.0002599,1.66204772902233,3.55752816660976,-0.133333333333333,-0.892763157894737
"FALSE POSITIVE",12022517,"K07507.01",1.715,12380,1.617,0.3421,0.006272,24.0378548895899,4.42438158856069,-1.33333333333333,74.4656917885264
"FALSE POSITIVE",12022718,"K07508.01",1.692,9271,2.563,0.4206,0.0002118,54.4530816213215,3.88864786695589,-0.533333333333333,8.40509259259259
"CANDIDATE",12067960,"K07510.01",0.1791,5199,1.269,3.979,6.863e-05,1.25954946131244,5.13886536833192,-0.333333333333333,-0.184514285714286
"FALSE POSITIVE",12071006,"K07511.01",1.792,-1,3.453,0.03974,0,-0.1,-0.08156,0.4,-289.226519337016
"FALSE POSITIVE",12105785,"K07512.01",4.07,3325,14.64,0.2468,0.005178,134.932848349189,3.03868174835917,-0.4,10.3373493975904
"FALSE POSITIVE",12157983,"K07514.01",0.02786,47090,0.2966,1.955,0.000545,0.834860113889577,4.68738835298321,-0.8,-12.9585561497326
"FALSE POSITIVE",12164751,"K07515.01",1.599,-1,1.512,-0.01335,0,-0.1,-0.0357,-2.53333333333333,99.7584541062802
"FALSE POSITIVE",12217907,"K07516.01",5.242,4892,13.97,0.4701,0.0294,860,3.55571847507331,-0.466666666666667,390.176991150443
"FALSE POSITIVE",12251779,"K07517.01",1.565,5682,10.79,-0.2569,0.002135,163.069139966273,4.80121002592913,-2.6,268.5
"FALSE POSITIVE",12268220,"K07518.01",3.826,24010,2.133,-0.0523,0,150.852315583044,1.90242494226328,-1.2,-31.9303338171263
"FALSE POSITIVE",12302391,"K07519.01",2.356,3400,11.26,-0.2347,0.06687,3.8484,3.65638766519824,0,96.1255411255411
"CANDIDATE",12304728,"K07520.01",0.09817,11530,-0.625,-0.28,-1.285e-05,0.779835766423358,3.07616279069767,0.84,0.435326086956522
"FALSE POSITIVE",12306808,"K07521.01",5.331,4866,20.67,0.173,0.02504,46.4705882352941,5.15466468695867,-2.6,-10.1126943005181
"FALSE POSITIVE",12306808,"K07521.02",6.21,4082,-8.126,0.1746,0.01778,16.8349588831517,5.15466468695867,-2.6,-6.14554455445545
"FALSE POSITIVE",12351927,"K07522.01",1.358,2824,5.101,-0.1726,0.01581,43.1419079259611,19.9063419855499,-4.8,67.7018633540373
"FALSE POSITIVE",12353633,"K07523.01",0.06698,41750,0.2865,-3.491,-9.559e-06,1.74062620796289,1.82352263564106,-0.533333333333333,0.395771428571429
"FALSE POSITIVE",12353720,"K07524.01",0.3239,10050,0.8362,-0.01494,0,146.035277292229,2.65569076592699,-0.228571428571429,10.7190082644628
"FALSE POSITIVE",12356746,"K07525.01",1.106,79140,0.19,-0.07136,-0.006429,319.524316648917,3.90938511326861,-1.6,144.769230769231
"FALSE POSITIVE",12356914,"K07526.01",1.009,-1,15.68,-0.01627,0.1699,-0.1,-0.1611,-2,222.80701754386
"FALSE POSITIVE",12365000,"K07527.01",0.1126,13980,0.6169,-1.353,-0.0004167,5.27847380410023,1.25598086124402,0.2,5.75478927203065
"FALSE POSITIVE",12365015,"K07528.01",0.04347,-1,0.1896,0.3653,-8.688e-08,-0.1,-0.01206,0.0666666666666667,0.00494385964912281
"FALSE POSITIVE",12367017,"K07529.01",0.4622,23670,0.6625,6.915,-0.01168,89.0334928229665,6.79060665362035,0.32,115.585585585586
"FALSE POSITIVE",12367310,"K07530.01",2.304,8139,4.227,0.2774,4.523e-05,111.469788341019,1.20355897559216,0.8,150.059701492537
"FALSE POSITIVE",12403968,"K07531.01",0.06568,13510,0.4764,-1.408,0.0007749,0.806576576576576,7.73525966419367,-1.77142857142857,-2.39041095890411
"FALSE POSITIVE",12418662,"K07532.01",2.504,22560,1.505,0.6421,0.002893,349.443016281062,5.6477889837083,-0.333333333333333,207.66265060241
"FALSE POSITIVE",12418816,"K07533.01",0.3254,-1,-0.1828,0,0,-0.1,-0.01315,-5.06666666666667,0
"FALSE POSITIVE",12470530,"K07536.01",0.8409,-1,6.119,0.7835,0.1007,-0.1,-0.06754,-2.33333333333333,923.915343915344
"FALSE POSITIVE",12506342,"K07538.01",0.161,15690,0.5975,56.4,-0.0003241,1.88344842017158,13.2140350877193,-2.4,3.60538116591928
"CANDIDATE",12555616,"K07540.01",0.1793,2618,7.18,-0.6126,0.000289,0.8002849002849,4.49937810945274,-0.6,-1.96687898089172
"FALSE POSITIVE",12557713,"K07541.01",1.193,3786,3.609,0.1042,-0.01317,76.3674851820491,16.6898663697105,-3.6,14.109219858156
"FALSE POSITIVE",3458687,"K07543.01",0.04763,38260,0.4116,1.767,-4.117e-06,0.0318546845124283,0,-1.05,-0.36637323943662
"FALSE POSITIVE",3749508,"K07544.01",0.07179,16110,0.5845,1.122,-0.0004302,4.49037987173162,0,0.14,7.11145510835913
"FALSE POSITIVE",3749508,"K07544.02",0.1003,37770,1.424,-0.9131,1.998e-05,0.00979803493449781,1.83345481049563,0.14,-0.834143049932524
