"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_pdeco","tce_dicco_mdec","tce_time0_sn"
"FALSE POSITIVE",7919516,"K07857.01",2291,1674,6315,3480,-0.5898,5.318e-05,-0.56883,1749127206.91965
"FALSE POSITIVE",7919867,"K07858.01",812.7,866.3,3438,1690,5.938,-0.0002661,4.7658,1110991940.11884
"CANDIDATE",7954278,"K07859.01",1818,2059,7868,1840,0.8344,0,-1.2134,1881728919.31046
"FALSE POSITIVE",7967517,"K07860.01",2268,2318,10870,2480,28.21,-0.0001098,0,1736200397.45684
"FALSE POSITIVE",8042747,"K07861.01",8.081,0.9516,31.27,252,-1.714,-0.0001176,-0.17012,242775212.34834
"FALSE POSITIVE",8042835,"K07862.01",551.6,720.2,7112,1670,6.523,1.451e-05,0.14333,259047243.197157
"CANDIDATE",8107150,"K07863.01",252.4,266.1,3909,1020,-0.7537,3.634e-05,1.2011,255940124.916988
"FALSE POSITIVE",8109692,"K07864.01",17.69,24.56,207.6,648,17.39,-0.003242,7.0662,312507796.68784
"CANDIDATE",8110757,"K07865.01",674.2,274.1,1470,2920,88.77,0.007984,1.4228,11483044108.7048
"FALSE POSITIVE",8110758,"K07866.01",607,994.8,2884,2540,142.4,-0.006375,1.0101,10011459284.8754
"FALSE POSITIVE",8112324,"K07867.01",384.3,2743,7160,254,4.534,0.02994,-0.19969,1527266619.38711
"FALSE POSITIVE",8126531,"K07868.01",6.28,1.397,29.33,425,0.2585,5.357e-05,-0.2258,281885675.443552
"FALSE POSITIVE",8179286,"K07869.01",123,160.9,810.7,925,32.74,0.00394,0.59172,391202224.541666
"CANDIDATE",8182107,"K07870.01",18.84,21.82,86.09,440,-1.32,-0.0002434,4.5876,427857393.068329
"FALSE POSITIVE",8197767,"K07871.01",5.698,5.954,116.6,196,3.971,0,1.6942,218047069.271758
