"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_prao","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",6629156,"K06747.01",7602.48,-7.199,7.36e-05,-2.12913907284768,1.5147191011236
"FALSE POSITIVE",6629588,"K06748.01",4635.1,-0.9015,9.609e-07,0.000926990291262136,0.0425007496251874
"CANDIDATE",6664842,"K06750.01",493.35,-0.1031,-4.265e-05,-0.0103759398496241,1.00505656108597
"FALSE POSITIVE",6665064,"K06751.01",3713.18,0.5902,0.002332,-6.68990384615385,17.6996153846154
"FALSE POSITIVE",6665064,"K06751.02",31.48,-0.04401,-0.0008468,-0.796428571428571,0.979758522727273
"CANDIDATE",6670610,"K06752.01",19.53,0.03643,7.193e-05,-1.2751269035533,1.90647887323944
"FALSE POSITIVE",6672229,"K06754.01",35.66,-1.221,0,1.06421052631579,1.08286343612335
"FALSE POSITIVE",6676725,"K06755.01",2155.91,-0.2847,0.0003766,7.42430703624733,6.87871972318339
"FALSE POSITIVE",6695889,"K06757.01",2387.3,-0.0126,0,0,0.217976011994003
"FALSE POSITIVE",6697716,"K06758.01",1566.82,-1.04,-0.0006016,-0.389075630252101,0.926946107784431
"FALSE POSITIVE",6698670,"K06760.01",329.01,-0.09487,0.009773,-0.593018867924528,0.367679640718563
