"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"CANDIDATE",8030148,"K00155.01",-0.1883368,3.51,5746,-4.061e-05
"CANDIDATE",10925104,"K00156.01",0.0868132,2.367,3980,0.0006336
"CANDIDATE",10925104,"K00156.02",0.0868132,1.665,3980,0.0001799
"CANDIDATE",10925104,"K00156.03",0.0868132,1.298,3980,0.0003111
"CANDIDATE",6541920,"K00157.01",-0.305502,4.366,5657,-0.0002271
"CANDIDATE",6541920,"K00157.02",-0.305502,3.226,5657,-0.0001343
"CANDIDATE",6541920,"K00157.03",-0.305502,3.484,5657,0.0001353
"CANDIDATE",6541920,"K00157.04",-0.305502,3.554,5657,-6.545e-05
"CANDIDATE",6541920,"K00157.05",-0.305502,2.975,5657,-0.000213
"CANDIDATE",6541920,"K00157.06",-0.305502,2.209,5657,3.354e-06
"FALSE POSITIVE",10555375,"K00158.01",0.133804,3.987,6020,0.003224
"CANDIDATE",8972058,"K00159.01",-0.1849688,2.909,5881,6.127e-06
"CANDIDATE",8972058,"K00159.02",-0.1849688,1.162,5881,5.904e-05
"CANDIDATE",6631721,"K00160.01",0.28945,3.784,6375,-0.001227
"CANDIDATE",5084942,"K00161.01",-0.5522582,2.78,4989,-1.297e-05
"CANDIDATE",8107380,"K00162.01",-0.219412,3.214,5788,-0.0001673
"CANDIDATE",6851425,"K00163.01",-0.5434208,2.192,5078,-1.631e-06
"FALSE POSITIVE",5652237,"K00164.01",0.1330632,3.788,6093,-0.007128
"CANDIDATE",9527915,"K00165.01",-0.5153704,2.775,5211,0.0001255
"CANDIDATE",2441495,"K00166.01",-0.5162616,2.469,5207,0.000255
"CANDIDATE",11666881,"K00167.01",0.0218528,3.139,6236,4.078e-05
"CANDIDATE",11512246,"K00168.01",-0.2271056,3.691,5761,-4.612e-06
"CANDIDATE",11512246,"K00168.02",-0.2271056,2.427,5761,1.32e-05
"CANDIDATE",11512246,"K00168.03",-0.2271056,1.875,5761,-1.461e-06
"FALSE POSITIVE",6185711,"K00169.01",0.0454192,3.194,5758,-0.02987
"FALSE POSITIVE",11044770,"K00170.01",-0.03172,5.794,8014,-0.003724
"CANDIDATE",7831264,"K00171.01",0.0146514,3.589,6122,8.767e-05
"CANDIDATE",7831264,"K00171.02",0.0146514,2.629,6122,-0.0001113
"CANDIDATE",8692861,"K00172.01",-0.1704576,2.432,5637,8.908e-05
"CANDIDATE",8692861,"K00172.02",-0.1704576,1.986,5637,0.0001001
"CANDIDATE",11402995,"K00173.01",-0.2684868,2.888,5705,-0.0001198
"CANDIDATE",10810838,"K00174.01",-0.5721856,2.664,4802,-0.0001845
"FALSE POSITIVE",8323753,"K00175.01",0.1484252,5.337,6093,-0.003715
"CANDIDATE",6442377,"K00176.01",0.0592352,3.495,6325,-0.0001025
"CANDIDATE",6803202,"K00177.01",-0.280364,1.923,5706,-8.963e-05
"FALSE POSITIVE",11455491,"K00178.01",0.2443852,2.186,6495,0.01245
"CANDIDATE",9663113,"K00179.01",0.0698056,4.32,6226,0.0001853
"CANDIDATE",9663113,"K00179.02",0.0698056,5.061,6226,-3.568e-05
"CANDIDATE",9573539,"K00180.01",-0.317286,2.526,5632,-0.0001111
"FALSE POSITIVE",12504988,"K00181.01",0.0509568,17.37,6197,0
"CANDIDATE",5376836,"K00182.01",0.0013178,12.98,5907,-0.0007776
"CANDIDATE",9651668,"K00183.01",-0.3042664,12.86,5561,0.001694
"FALSE POSITIVE",7972785,"K00184.01",0.173416,13.44,6434,-0.0004379
"FALSE POSITIVE",4178389,"K00185.01",0.04839,20.77,5875,0.01859
"CANDIDATE",12019440,"K00186.01",-0.2433908,12.99,5823,-0.001763
"FALSE POSITIVE",7023960,"K00187.01",-0.1233008,15.46,6014,-0.0002169
"CANDIDATE",5357901,"K00188.01",-0.5344642,10.57,5167,0.000323
"CANDIDATE",11391018,"K00189.01",-0.549259,11.05,4939,0.0004704
"FALSE POSITIVE",5771719,"K00190.01",-0.481854,28.5,5372,0.0007134
"CANDIDATE",5972334,"K00191.01",-0.4433544,11.06,5422,0.001427
"CANDIDATE",5972334,"K00191.02",-0.4433544,2.698,5422,0.0002529
"CANDIDATE",5972334,"K00191.03",-0.4433544,1.257,5422,9.406e-05
"CANDIDATE",5972334,"K00191.04",-0.4433544,2.359,5422,-3.766e-05
"CANDIDATE",7950644,"K00192.01",-0.092442,13.5,5803,1.316e-05
"FALSE POSITIVE",10799735,"K00193.01",0.0431008,14.54,6147,0.001137
"CANDIDATE",10904857,"K00194.01",0.0193588,14.3,6122,9.224e-05
"CANDIDATE",11502867,"K00195.01",-0.171519,11.7,5720,0.0009451
"CANDIDATE",9410930,"K00196.01",-0.2649672,10.42,5657,-0.0004327
"CANDIDATE",2987027,"K00197.01",-0.5612084,7.353,4941,0.0001316
"FALSE POSITIVE",10666242,"K00198.01",-0.4047598,18.8,5671,-0.0002927
