"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"FALSE POSITIVE",10816107,"K07377.01",1.081,-0.004477,0.001293,-0.213407079646018
"CANDIDATE",10843431,"K07378.01",2.469,-0.0004721,-0.0006146,-0.346021739130435
"CANDIDATE",10843431,"K07378.02",36.45,0.002915,0.002997,2.7494425087108
"FALSE POSITIVE",10847907,"K07379.01",0.2292,1.143e-06,2.02e-06,-1.37525270758123
"FALSE POSITIVE",10849244,"K07381.01",14.68,0.0009844,0.003587,0.232828282828283
"FALSE POSITIVE",10857589,"K07382.01",18.99,0.01017,0.02162,0.558419540229885
"FALSE POSITIVE",10867017,"K07384.01",0.4394,-0.0006936,-0.001032,68.2623906705539
"FALSE POSITIVE",10909274,"K07385.01",6.566,0.0007576,-0.006622,-0.174993026499303
"FALSE POSITIVE",10920813,"K07386.01",24.63,0,-0.001609,0.474066570188133
"FALSE POSITIVE",10923260,"K07387.01",5.467,-0.003694,-0.0002672,-0.551592920353982
"FALSE POSITIVE",10924400,"K07388.01",0.3656,-4.008e-05,4.192e-05,5.91541850220264
"FALSE POSITIVE",10936427,"K07390.01",7.196,-0.1942,0,-0.353810218978102
"FALSE POSITIVE",10937609,"K07391.01",1.283,0.00478,-0.00194,0.184243323442137
"FALSE POSITIVE",10965963,"K07392.01",3.16,0.0001223,0.0009224,0.879093610698366
"FALSE POSITIVE",10979716,"K07394.01",5.49,-0.001915,0.006597,1.70333333333333
"FALSE POSITIVE",10982373,"K07395.01",1.212,-6.057e-05,-1.95e-05,3.22600574712644
"FALSE POSITIVE",10987439,"K07396.01",5.555,-0.01024,-0.005929,0.466440443213296
"FALSE POSITIVE",10989032,"K07397.01",1.061,0.001632,0.00241,-0.449930651872399
"FALSE POSITIVE",10991989,"K07398.01",0.487,-0.003722,-0.001937,3.65166908563135
"FALSE POSITIVE",10992733,"K07399.01",13.3,0,0.01183,-0.367625899280575
"CANDIDATE",11019739,"K07400.01",1.401,-8.723e-06,2.934e-05,0.887429022082019
"FALSE POSITIVE",11027722,"K07402.01",0.2667,0.0003268,0.0005658,0.151410974244121
"FALSE POSITIVE",11029877,"K07403.01",0.395,0,-0.00417,-38.4796633941094
"CANDIDATE",11068630,"K07404.01",-0.15,-7.265e-05,-0.0002668,-0.121701890989989
"FALSE POSITIVE",11071207,"K07405.01",4.998,-0.0008513,-7.054e-05,-0.3262852897474
"FALSE POSITIVE",11073223,"K07406.01",7.581,-0.1789,0.07241,0.980515463917526
"FALSE POSITIVE",11076279,"K07407.01",0.7382,0.01075,0.01694,-0.0278273480662983
"CANDIDATE",11092783,"K07408.01",1.563,-0.0001424,-0.0009847,0.269663212435233
"FALSE POSITIVE",11124509,"K07409.01",-0.9313,4.286e-05,3.103e-06,-1.38110638297872
"CANDIDATE",11134079,"K07410.01",0.6313,0,0.01693,1.29614441416894
"CANDIDATE",11137061,"K07411.01",0.9764,4.222e-05,-0.0001057,-1.01664285714286
"FALSE POSITIVE",11144439,"K07412.01",0.456,0.001918,0.001687,-26.9908653846154
"FALSE POSITIVE",11147276,"K07413.01",0.9603,-0.007191,0.005556,1.22866766467066
"FALSE POSITIVE",11154043,"K07414.01",2.139,1.327e-05,-4.978e-05,0.514135922330097
