"koi_disposition","kepid","kepoi_name","tce_depth","tce_ldm_coeff1","tce_chisq1","tce_chisqgofdof","tce_smet","tce_steff_prov","tcet_model_dof","wst_robstat","tce_fwm_prao","tce_time0_sn"
"CANDIDATE",3234598,"K02413.01",400.7,0.7267792,549.9,744,0.16,26,5667,2.802,0.0003777,630228629.812753
"CANDIDATE",3234598,"K02413.02",348.7,0.7267792,256,392,0.16,26,3054,2.744,0.0002008,324085881.827999
"CANDIDATE",8611832,"K02414.01",137.7,0.5181324,342.6,723,-0.04,23,5744,2.216,-4.157e-05,395290908.681049
"CANDIDATE",8611832,"K02414.02",163.9,0.5181324,196.9,317,-0.04,23,2434,2.175,0.0003378,373928659.009317
"CANDIDATE",5621586,"K02415.01",433.9,0.3838012,1249,1353,-0.14,8,10180,1.111,0.0005255,895843672.456576
"CANDIDATE",9210387,"K02416.01",330.4,0.4498756,1271,1246,-0.02,5,8977,1.947,0.0001026,599239892.696477
"CANDIDATE",9654468,"K02417.01",1172,0.6661852,83.56,179,-0.14,46,1364,2.439,3.869e-05,320321184.950131
"CANDIDATE",10027247,"K02418.01",740.4,0.5170394,79.97,174,0.16,46,1327,3.111,3.465e-05,226622111.860871
"CANDIDATE",6343170,"K02419.01",590.8,0.394322,328.5,346,-0.08,5,2544,2.013,0.0003516,654948590.576095
"CANDIDATE",7107802,"K02420.01",206.8,0.5951924,792,1337,0.14,26,10180,2.191,0.000231,518663669.437132
"CANDIDATE",7107802,"K02420.02",83.05,0.5951924,1304,1714,0.14,26,13060,2.105,-9.896e-05,368985315.557693
"CANDIDATE",8838950,"K02421.01",97.48,0.2236174,3273,2653,-1.3,5,18860,1.881,-6.701e-05,1102985510.50208
"CANDIDATE",8838950,"K02421.02",83.04,0.2236174,1697,1880,-1.3,5,14140,1.914,-8.795e-05,529097484.439387
"CANDIDATE",11360805,"K02422.01",368.6,0.6467664,274,481,0.14,26,3591,3.155,-0.0005933,477010902.406846
"CANDIDATE",11360805,"K02422.02",307.7,0.6467664,179.6,115,0.14,26,755,3.059,4.946e-05,334252368.387373
"CANDIDATE",9845898,"K02423.01",385.3,0.3512996,154.1,329,-0.1,5,2720,1.897,0.0004106,287413176.050229
"CANDIDATE",12453581,"K02424.01",637.4,0.6408486,672.6,738,0.07,5,5298,1.763,-0.000744,541373097.72841
"FALSE POSITIVE",11922678,"K02425.01",53.14,0.2820316,4633,5649,-0.28,5,32140,1.258,-0.000225,1074639083.1969
"CANDIDATE",8081899,"K02426.01",71.12,0.5507684,1898,2106,-0.06,5,15610,2.201,4.942e-05,757809702.552199
"FALSE POSITIVE",10189557,"K02427.01",181.6,0.338872,2569,2088,-0.56,5,14770,2.135,-0.002559,855356956.203617
"FALSE POSITIVE",9965184,"K02428.01",513.8,0.563369,304.9,400,-0.1,8,3038,16.4,-0.01732,336862991.010968
"FALSE POSITIVE",9911882,"K02429.01",224.3,0.3106344,3938,2399,-0.56,5,16070,1.97,-0.001925,1954578387.11475
"FALSE POSITIVE",3533469,"K02430.01",261.3,0.6213088,789.4,852,0.14,26,6332,2.53,-0.0002397,456714812.995788
"CANDIDATE",7047363,"K02432.01",642.6,0.464366,262.2,342,-0.34,5,2563,2.827,0.0003383,467817513.477256
"CANDIDATE",11968463,"K02433.01",444.5,0.3841128,693.3,1073,-0.04,8,8316,2.006,-0.0001689,383228588.10931
"CANDIDATE",11968463,"K02433.02",425.7,0.3841128,350.4,829,-0.04,8,6374,2.963,0.0001783,256191162.950386
"CANDIDATE",11968463,"K02433.03",442.8,0.3841128,118.6,251,-0.04,8,2021,2.88,-0.0003072,201773635.459559
"CANDIDATE",11968463,"K02433.04",282.9,0.3841128,203,348,-0.04,8,3033,2.499,-0.0003473,186911568.769272
"FALSE POSITIVE",11968463,"K02433.05",109,0.3841128,8625,5198,-0.04,8,22720,4.644,-0.001823,1656457903.1888
"FALSE POSITIVE",6864885,"K02434.01",586.8,0.417569,188.5,452,-0.14,5,3845,18.57,0.005443,272158866.040754
"CANDIDATE",5097868,"K02435.01",214.9,0.3368468,1166,1270,-0.4,5,9438,2.876,-0.0001857,586597691.811426
"CANDIDATE",8570333,"K02436.01",857,0.6762984,87.11,199,0.36,5,1662,3.233,-0.000623,352245204.834766
"CANDIDATE",5036705,"K02437.01",123,0.4663452,1774,2334,0.16,26,17810,2.359,-0.0002814,569383272.683417
"FALSE POSITIVE",5078939,"K02438.01",450,0.5902888,3005,2317,0,5,16330,7.875,-0.001862,1139525060.57427
"CANDIDATE",6867555,"K02439.01",285.6,0.4204038,1341,2111,0.07,8,15900,2.448,-8.5e-06,719367183.562479
"CANDIDATE",6867555,"K02439.02",138.5,0.4204038,886.9,1277,0.07,8,9799,2.766,-0.0003436,239668267.728835
"CANDIDATE",5339567,"K02440.01",144.7,0.551416,1272,1154,0.1,26,8519,4.334,-5.338e-06,914920656.216692
"FALSE POSITIVE",4459924,"K02441.01",113,0.5396368,1722,2646,-0.3,18,20250,2.311,0.006162,706757025.193101
"CANDIDATE",11080405,"K02442.01",497.5,0.6665676,348.1,470,0.16,26,3657,2.687,-0.0001114,390582664.988712
"CANDIDATE",11080405,"K02442.02",240.3,0.6665676,606.6,748,0.16,26,5691,2.995,0.0001208,305628488.160019
"CANDIDATE",9209624,"K02443.01",99.37,0.3445326,1275,1293,-0.38,15,9526,2.412,-0.0001825,640407465.859735
"CANDIDATE",9209624,"K02443.02",101.5,0.3445326,589.3,791,-0.38,15,6007,2.334,-4.888e-05,420700338.962138
"CANDIDATE",3354846,"K02444.01",827.2,0.5241056,343.4,524,-0.08,5,4068,3.089,-0.000271,465743263.240171
"CANDIDATE",6516185,"K02445.01",776.4,0.4591512,157,310,-0.16,8,2459,2.787,-0.000123,170188974.849569
"FALSE POSITIVE",9850957,"K02446.01",106.2,0.2247624,717.2,1522,-0.48,5,12080,4.098,-0.0002374,533910819.492441
"FALSE POSITIVE",3946023,"K02447.01",25.79,0.2657076,7727,8251,-0.4,5,32120,7.468,-0.00259,1255546463.45829
"CANDIDATE",5857540,"K02448.01",919.7,0.6634872,320.7,379,0.16,8,2817,2.453,-0.0001606,671042848.864543
"CANDIDATE",12208631,"K02449.01",775.9,0.6166796,104.5,229,0.16,26,1913,3.149,-0.001348,241466917.152721
"CANDIDATE",12208631,"K02449.02",98.52,0.6166796,7024,4395,0.16,26,26880,2.059,-0.0001367,1231482317.53198
"CANDIDATE",7289317,"K02450.01",327,0.610864,480.4,587,0.16,26,4584,2.749,0.0005095,618576676.728634
"CANDIDATE",7289317,"K02450.02",123.9,0.610864,1196,1135,0.16,26,8525,2.095,0.0001555,431615757.068564
"FALSE POSITIVE",6500206,"K02451.01",438.7,0.6558076,433.4,269,0.18,26,1799,13.41,5.947e-06,919330437.387657
"FALSE POSITIVE",5545815,"K02452.01",165.4,0.2498816,1261,1100,-0.52,5,7724,4.463,0.001451,941911547.47791
"CANDIDATE",8631751,"K02453.01",588.9,0.46578,5300,4780,-0.42,41,32190,2.311,-8.423e-05,5083817045.87107
"FALSE POSITIVE",11401822,"K02454.01",188.6,0.4969954,3607,4422,-0.22,5,31200,4.889,7.349e-05,772991763.016701
"FALSE POSITIVE",6507427,"K02455.01",260.2,0.4644248,1544,1025,0.07,5,6908,2.807,-0.002108,2134144115.16695
"FALSE POSITIVE",5521300,"K02456.01",425,0.4005816,444.6,347,-0.06,5,2457,11.46,-0.01077,726832127.852962
"CANDIDATE",9753154,"K02457.01",54.64,0.2323776,2242,2676,-0.42,5,20190,3.051,4.176e-05,1158627752.65945
"CANDIDATE",7604328,"K02458.01",282.4,0.5083248,2706,2055,-0.2,5,14610,2.022,-0.0001163,1511829983.24958
"CANDIDATE",7604328,"K02458.02",270.6,0.5083248,1780,1552,-0.2,5,11310,2.642,3.779e-05,966234512.508068
"FALSE POSITIVE",8572936,"K02459.01",439900,0.4378284,40370000,840,-0.06,69,6693,8431,0.1099,-2454970
"CANDIDATE",11236244,"K02460.01",299.4,0.6137288,474.1,479,-0.32,5,3587,3.615,2.45e-05,542067610.236481
"CANDIDATE",9837685,"K02461.01",836.2,0.537416,468.9,476,-0.06,8,3426,2.515,-0.0006438,721536435.830967
"CANDIDATE",5042210,"K02462.01",69.28,0.454997,739.4,1353,0.04,23,10810,2.466,1.232e-05,535442275.983005
"CANDIDATE",12454461,"K02463.01",78.82,0.5352332,918.3,1279,0.36,23,9862,2.678,-5.314e-05,637303614.632981
"FALSE POSITIVE",9887224,"K02464.01",62.4,0.635027,8789,6949,0.02,5,32120,1.593,0.0005409,1826614583.33333
"FALSE POSITIVE",7542369,"K02465.01",170.6,0.1696726,1429,1371,-0.68,5,9812,6.728,0.0002839,898485907.631948
"CANDIDATE",8544992,"K02466.01",205.2,0.6223752,2252,1931,-0.32,5,13740,2.282,0.0001348,1479806869.28112
"CANDIDATE",8544992,"K02466.02",234.5,0.6223752,559.6,593,-0.32,5,4444,2.812,7.998e-05,443906205.36021
"CANDIDATE",11818607,"K02467.01",130.8,0.4560832,1431,1905,-0.04,5,14850,2.472,0.0001013,445400166.550855
"CANDIDATE",8380709,"K02468.01",317.3,0.38931,368.8,623,-0.14,5,5068,3.147,0.0003385,335328474.331796
"CANDIDATE",6149910,"K02469.01",917.6,0.6718572,77.21,124,0.14,26,944,2.549,0.0002314,335485166.969809
"FALSE POSITIVE",9108085,"K02470.01",61.06,0.5559514,3981,5669,0.16,26,32000,-0.1129,0.0001488,938296896.499006
"CANDIDATE",5436013,"K02471.01",214.6,0.6452272,269.8,489,0.12,26,3641,2.542,-0.0002302,372607825.25153
"CANDIDATE",9395719,"K02472.01",325.6,0.4949402,3130,1815,0.21,5,12190,1.709,0.0001325,1964706729.73038
"CANDIDATE",8753896,"K02473.01",343.8,0.6604812,1851,1576,0.16,26,11230,2.752,1.982e-05,1097605357.98914
"FALSE POSITIVE",8746295,"K02475.01",184.4,0.5085316,1235,1072,-0.02,5,8008,3.213,-0.01737,747921484.040592
"FALSE POSITIVE",10090257,"K02476.01",175.1,0.6600804,2557,5828,-0.04,5,25870,4.125,0.009221,580960359.324232
"CANDIDATE",6846911,"K02477.01",387.3,0.468232,537.6,343,0.06,5,2345,2.678,0.0004183,1260633354.0446
"FALSE POSITIVE",5385439,"K02478.01",164.3,0.5445664,757.7,3262,-0.1,5,25750,14.93,1.459e-05,147405806.238554
"CANDIDATE",5963582,"K02479.01",136,0.5844588,331.6,919,0.02,23,7398,2.015,-8.057e-06,386353907.651632
"CANDIDATE",8189801,"K02480.01",529.3,0.647078,11290,7128,-0.2,53,32150,1.126,0.0001694,6566170963.94565
"CANDIDATE",11403389,"K02482.01",410.1,0.4959968,139,243,-0.02,5,2063,2.479,-0.0001295,374033671.059648
"CANDIDATE",9851662,"K02483.01",206.2,0.3871702,462.7,691,-0.46,5,5332,3.133,-0.0001734,398164366.854155
"CANDIDATE",10453588,"K02484.01",142.3,0.3816992,121.1,250,-0.28,23,1971,3.833,0.0001066,386353407.005694
"CANDIDATE",11125613,"K02485.01",292.1,0.6853528,1741,1351,0.18,26,9530,2.271,0.0001562,1186159213.01844
"CANDIDATE",11125613,"K02485.02",378.6,0.6853528,487.1,529,0.18,26,3894,3.083,0.0001837,596554279.812891
"CANDIDATE",11125613,"K02485.03",308.7,0.6853528,987.8,907,0.18,26,6635,4.07,-8.997e-05,775135374.074483
"CANDIDATE",8074328,"K02486.01",132.5,0.286739,1822,1119,-0.28,13,7542,3.117,-3.998e-05,2133291043.544
"CANDIDATE",7212184,"K02487.01",355.9,0.5147172,274.1,556,0.14,26,4303,2.275,-2.67e-05,277004300.10708
"CANDIDATE",8559152,"K02488.01",114.2,0.4333156,706.7,1019,-0.02,23,7768,2.768,3.901e-05,503248091.016246
"CANDIDATE",2718778,"K02489.01",419.7,0.4373048,1723,2142,-0.18,8,16220,1.838,0.0002873,815620909.386898
"CANDIDATE",3122913,"K02490.01",798.7,0.6425496,662.9,517,-0.14,18,3773,3.377,-9.577e-05,765384255.650818
"CANDIDATE",9229657,"K02491.01",271.2,0.4852024,2926,2773,-0.04,5,20140,2.395,0.0004121,1429063729.71337
"CANDIDATE",11752632,"K02492.01",53.8,0.5178164,7232,4937,0.14,26,25680,1.16,-1.797e-05,1212259026.62558
"CANDIDATE",10028535,"K02493.01",332,0.6335932,8093,5699,0.07,5,25640,0.662,-0.0002461,5072514375.80196
"CANDIDATE",7047207,"K02494.01",219,0.522276,413.6,1102,0.16,26,8604,2.709,-5.267e-05,362909997.220859
"FALSE POSITIVE",5212220,"K02495.01",118.4,0.3050348,6784,4404,-0.22,5,29610,6.764,0.0001808,4518999434.88577
"FALSE POSITIVE",9964748,"K02496.01",75.32,0.4272844,5207,3211,-0.06,5,21720,2.351,-0.0007289,1222413097.70999
"CANDIDATE",11179076,"K02497.01",870,0.676586,116.3,165,0.16,26,1236,2.853,0.0009347,356072451.113773
"CANDIDATE",5959719,"K02498.01",86.7,0.5847844,1218,1075,-0.12,15,7901,2.578,0.000147,586328701.558627
"CANDIDATE",5959719,"K02498.02",91.73,0.5847844,540.7,712,-0.12,15,5479,1.88,2.22e-05,340129984.745981
"FALSE POSITIVE",5544903,"K02499.01",405.7,0.408277,409.5,374,0.07,5,2706,2.824,-0.003167,535886264.117665
"FALSE POSITIVE",10407054,"K02500.01",42.81,0.2625236,8588,10640,-0.34,13,32180,0,9.641e-05,1081651355.93594
"FALSE POSITIVE",5542983,"K02501.01",115.5,0.2736004,1329,802,-0.36,5,5398,7.236,-0.0001883,1426520235.91621
"CANDIDATE",8631504,"K02503.01",195.3,0.6670772,543.6,684,0.08,47,5080,1.115,-0.0001364,408516211.053203
"CANDIDATE",8110767,"K02504.01",682.8,0.5956836,332.6,527,0.21,8,4037,3.377,7.078e-05,395542179.157094
"FALSE POSITIVE",5471574,"K02505.01",58.82,0.2468382,7362,9026,-0.34,5,32160,3.147,-0.0001449,1907750769.32641
"CANDIDATE",6767840,"K02506.01",304.3,0.3629424,822.3,991,-0.18,5,7490,3.187,0.0002644,749989307.557418
"CANDIDATE",8379705,"K02507.01",393.1,0.3660848,662.7,759,-0.18,5,5646,2.194,-0.0008727,443955173.54248
"FALSE POSITIVE",8836888,"K02508.01",361.5,0.5097184,985.9,686,-0.18,5,4557,3.533,0.0002166,1079131409.48153
"CANDIDATE",9880190,"K02509.01",172.3,0.6665676,1981,1635,0.16,26,11860,2.203,-0.0002004,878579225.194596
"FALSE POSITIVE",5392702,"K02510.01",482.8,0.6006,616.7,1618,0.07,5,12990,4.282,-0.00972,263669922.036523
"FALSE POSITIVE",8429566,"K02511.01",156,0.3726478,2126,1629,-0.34,5,11540,5.756,-0.003223,990042949.609824
"CANDIDATE",9574158,"K02512.01",693.2,0.4962,434.1,294,-0.14,5,1956,3.285,-0.001047,993573087.912711
"CANDIDATE",9653622,"K02513.01",539.1,0.2832112,456,269,-0.32,5,1757,2.013,0.0002337,1021359271.77115
"FALSE POSITIVE",4391348,"K02514.01",131.3,0.3920286,3576,3181,0,8,23280,1.149,-0.002452,844003011.644337
"CANDIDATE",7294743,"K02516.01",44.1,0.6119024,2764,3513,0.12,26,26670,1.358,-1.306e-05,685456692.84743
"CANDIDATE",8947520,"K02517.01",120.9,0.591508,7156,4905,0.14,26,32120,1.892,-5.486e-05,2600311829.39204
"FALSE POSITIVE",5529738,"K02518.01",37.07,0.3684904,10870,7979,-0.08,5,32120,2.325,0.0002561,726921710.29255
"CANDIDATE",4047631,"K02519.01",321.8,0.6736534,1553,1012,0.04,18,6735,3.069,0.0003057,3239340723.43081
"CANDIDATE",10059645,"K02520.01",362.3,0.6630268,1232,946,0,5,6676,3.76,0.000225,898315318.018486
"CANDIDATE",7183745,"K02521.01",783.5,0.6634072,302.2,432,0.14,26,3284,3.482,0.0004141,352728448.275862
"CANDIDATE",7183745,"K02521.02",362.3,0.6634072,1297,1024,0.14,26,7234,2.42,0.0006545,846666919.57773
"CANDIDATE",9177629,"K02522.01",215.1,0.6549004,1222,838,0,31,5723,2.484,0.0002709,2056157660.22312
"CANDIDATE",7778767,"K02523.01",557.7,0.610968,549.7,839,0.16,26,6338,1.771,-0.00025,354073099.744142
"CANDIDATE",7778767,"K02523.02",193.6,0.610968,2573,1897,0.16,26,13270,2.84,-0.0002912,615675721.766346
"CANDIDATE",7515762,"K02524.01",299.3,0.5208624,249.7,519,0.14,26,4061,2.993,0.0001299,266184312.390354
"CANDIDATE",5942949,"K02525.01",829,0.6334064,119.2,212,-0.1,5,1549,2.747,-0.001268,305148032.183125
"CANDIDATE",7879433,"K02527.01",82.09,0.6462318,5211,4377,-0.22,46,30930,2.171,-7.389e-05,1928461453.86561
"CANDIDATE",9205907,"K02528.01",767,0.3521414,642.3,412,-0.28,5,2730,2.736,-0.0008737,1542250645.49161
"CANDIDATE",8463346,"K02529.01",1022,0.6678198,479.7,518,0.02,70,3899,3.009,-0.0002145,545607086.978167
"CANDIDATE",8463346,"K02529.02",1143,0.6678198,132.5,196,0.02,70,1478,3.322,-0.0007886,331811442.295866
"CANDIDATE",9011825,"K02530.01",176.1,0.6439492,201.9,488,0.36,26,3921,2.167,0.0001836,339340090.647345
"CANDIDATE",4172746,"K02531.01",846.6,0.6695428,285.8,280,0.08,8,2029,2.77,-0.000685,474861988.525801
"CANDIDATE",5174858,"K02532.01",498.3,0.6684752,873.3,583,0.24,5,3973,2.435,0.0005564,1404654010.3219
"CANDIDATE",11074835,"K02533.01",77.06,0.64322,1073,3756,-0.08,15,25930,2.556,3.897e-05,343197888.503359
"CANDIDATE",1996180,"K02534.01",118.6,0.3999884,2384,2801,-0.06,15,21120,2.745,-4.415e-06,1166311938.80944
"CANDIDATE",1996180,"K02534.02",84.79,0.3999884,1064,1549,-0.06,15,11920,2.072,-3.056e-05,503970225.362637
"CANDIDATE",9635606,"K02535.01",423.9,0.683167,137.8,276,0.16,26,2135,2.443,-4.599e-05,370927337.229471
"CANDIDATE",3728701,"K02536.01",388.3,0.3842472,172,345,-0.14,5,2592,2.623,-0.0003031,401324468.667701
"CANDIDATE",1849702,"K02538.01",386.6,0.637964,231.9,197,0,31,1426,2.599,5.235e-05,480889698.536757
"FALSE POSITIVE",7289162,"K02539.01",98.64,0.3470872,1510,1163,-0.18,5,8152,2.003,0.0008992,599292554.736685
"FALSE POSITIVE",3001885,"K02540.01",430.4,0.7229752,1913,1463,0.32,8,10310,2.89,0.003057,721559763.807531
"CANDIDATE",12306058,"K02541.01",69.23,0.6687192,1058,2684,0,15,21340,1.426,-2.704e-05,371632934.195189
"CANDIDATE",12306058,"K02541.02",90.12,0.6687192,299.6,1123,0,15,9085,2.93,-2.054e-06,186574151.479686
"CANDIDATE",6183511,"K02542.01",365.8,0.459144,8160,5084,0.07,41,24910,2.322,-0.0002848,3668225625.70041
"CANDIDATE",12469800,"K02543.01",269.7,0.667456,5269,3672,0.14,26,24690,0.7884,6.487e-05,2330599225.33607
"CANDIDATE",8676148,"K02544.01",655.9,0.543392,226.8,436,0.12,5,3269,2.75,0.0003172,455011166.816484
"CANDIDATE",9696358,"K02545.01",38.04,0.4672762,1144,2347,0.16,0,18310,2.728,5.447e-06,281404172.397983
"FALSE POSITIVE",5039129,"K02546.01",82.02,0.3734112,5834,4589,-0.1,5,32200,2.448,0.000923,1297278588.03636
"CANDIDATE",4484336,"K02547.01",213.3,0.233679,719.1,655,-0.54,5,4762,2.77,0.0002038,769170757.994931
"CANDIDATE",9580167,"K02548.01",288.8,0.7419976,7823,4912,-0.04,57,27340,1.449,6.549e-05,3145292509.37193
"FALSE POSITIVE",10679583,"K02549.01",179.3,0.4455728,1748,1953,-0.38,5,14610,1.657,-0.0004547,671657879.833328
"CANDIDATE",11622985,"K02550.01",433.4,0.404994,418.1,566,-0.16,5,4181,3.064,-0.0001028,445753774.866182
"CANDIDATE",11361283,"K02551.01",544,0.6418928,496.6,617,-0.02,5,4579,2.751,0.0004456,306593882.808997
"CANDIDATE",8757824,"K02552.01",105,0.4756696,2087,1665,0.14,26,11690,2.887,0.0001116,981736675.411095
"CANDIDATE",9832208,"K02553.01",840.9,0.6725096,120.6,188,0.16,26,1480,2.067,-0.002147,309202199.006291
"CANDIDATE",10471621,"K02554.01",357.5,0.522044,678.8,823,-1.1,5,6129,3.866,-0.0001649,635178175.476907
"CANDIDATE",10471621,"K02554.02",626.5,0.522044,155.8,120,-1.1,5,800,3.451,0.0004706,689330038.748807
"CANDIDATE",5350244,"K02555.01",94.84,0.4088884,619.3,1096,-0.06,23,8545,2.551,-2.581e-05,427045136.690347
"CANDIDATE",5374403,"K02556.01",248.7,0.564072,192,279,0,31,2044,2.474,-3.669e-05,430419849.53653
"FALSE POSITIVE",10925113,"K02557.01",251.5,0.5041528,580.4,621,-0.4,8,4735,1.636,0.001376,384966881.601726
"FALSE POSITIVE",5307858,"K02558.01",358.2,0.4205644,4064,5674,-0.02,8,27230,1.264,0.01598,579892712.631895
"CANDIDATE",6605493,"K02559.01",113.1,0.5071744,802.6,1064,0.06,47,8139,2.374,0.0001668,606122030.768167
"CANDIDATE",4670217,"K02560.01",541.5,0.6530728,288.2,359,0.02,8,2665,2.545,-0.00045,244458053.273587
"CANDIDATE",7259298,"K02561.01",74.44,0.2696674,2600,2265,-0.46,5,16460,3.373,-4.112e-05,945379138.250392
"FALSE POSITIVE",10415227,"K02562.01",159.3,0.3783816,2044,3376,-0.16,5,25750,2.931,-0.0009128,614046452.994232
"CANDIDATE",5175024,"K02563.01",146.8,0.3016018,361.3,820,-0.24,5,6692,3.457,4.799e-05,339400189.955055
"CANDIDATE",5175024,"K02563.02",48.26,0.3016018,1373,2093,-0.24,5,16500,2.542,6.902e-05,310869812.969318
"CANDIDATE",9026749,"K02564.01",212.5,0.5507046,131.6,461,0.26,26,3567,2.693,5.631e-05,252569147.595459
"CANDIDATE",9026749,"K02564.02",62.28,0.5507046,458.1,1179,0.26,26,8818,2.116,-0.0001321,168489756.700182
"FALSE POSITIVE",12216278,"K02565.01",194.3,0.44427,3385,4160,-0.1,8,27160,1.184,-0.03854,880908979.998995
"FALSE POSITIVE",9159242,"K02566.01",70.05,0.4583444,2698,4559,-0.24,5,32200,1.781,-0.0001697,625875088.592363
"FALSE POSITIVE",9842937,"K02567.01",198.5,0.4446388,1175,3180,-0.2,5,25550,2.714,-0.001058,283887373.391044
"FALSE POSITIVE",6525185,"K02568.01",221.8,0.4959968,4815,4302,-0.02,5,31300,1.946,-0.0007053,820889383.771204
"CANDIDATE",8247770,"K02569.01",151.7,0.5848296,957.3,1154,0.16,26,8833,2.724,0.000273,585431054.218017
"FALSE POSITIVE",10812504,"K02570.01",1238,0.6544676,79.1,135,-0.3,53,1013,3.205,-0.0007124,536452073.891819
"CANDIDATE",6867588,"K02571.01",104.3,0.6526656,9564,10520,0.16,26,32200,2.054,-2.627e-05,2801984582.61904
"CANDIDATE",7501646,"K02572.01",509.9,0.645042,975.5,999,0.36,8,7176,1.834,0.0005555,510752990.178027
"CANDIDATE",8256453,"K02573.01",1194,0.2974906,6120,2975,-0.78,8,20300,2.978,-0.000809,6321604960.52489
"FALSE POSITIVE",9474493,"K02574.01",133.1,0.5213282,16530,9323,-0.1,5,32170,1.303,-0.0003784,2456854234.61489
"FALSE POSITIVE",4551663,"K02576.01",168.3,0.5131648,604.5,608,-0.24,5,4398,1.839,0.000964,634902203.17636
"CANDIDATE",12257999,"K02577.01",563.8,0.5441012,454.9,729,0.56,26,5858,3.105,-4.243e-05,1359160465.9403
"CANDIDATE",6922203,"K02578.01",698.2,0.3809868,565.6,359,-0.18,5,2442,3.08,-0.0006519,1403449498.06773
"CANDIDATE",9896018,"K02579.01",145.3,0.5231288,2735,3161,0.16,26,23530,1.854,-2.799e-06,985326285.455122
"CANDIDATE",9896018,"K02579.02",146.7,0.5231288,1757,1733,0.16,26,12830,3.555,4.908e-06,769206908.220431
"CANDIDATE",9896018,"K02579.03",181.2,0.5231288,613.2,909,0.16,26,7015,1.788,-0.0002675,350137275.456575
"CANDIDATE",11037511,"K02580.01",329.3,0.569512,2435,1900,0.07,5,13360,2.802,-8.267e-05,1286874246.47481
"CANDIDATE",11818872,"K02581.01",115.6,0.5877832,638.7,795,0,31,5970,3.347,7.12e-05,501910554.561717
"CANDIDATE",11771430,"K02582.01",206.3,0.561848,219.4,356,0.26,47,2605,3.003,0.0001915,425566068.153531
"CANDIDATE",10387742,"K02583.01",40.64,0.5537576,2452,1593,0.06,23,10720,2.097,3.337e-05,1097914607.58577
"FALSE POSITIVE",10387742,"K02583.02",152.1,0.5537576,43.15,38,0.06,23,268,3.15,0.0001992,306436272.588613
"CANDIDATE",7673841,"K02585.01",65.4,0.4408698,1443,1789,-0.14,23,13910,2.131,1.231e-05,655616741.264568
"CANDIDATE",7673841,"K02585.02",69.48,0.4408698,662.5,658,-0.14,23,4782,2.397,6.675e-05,439277035.997896
"CANDIDATE",7673841,"K02585.03",45.09,0.4408698,951.9,1432,-0.14,23,10980,0.9512,-0.0001114,318803258.975298
"CANDIDATE",9827149,"K02586.01",267.1,0.574419,3377,2418,0.26,8,17150,1.21,-0.0001431,1761760210.12293
"CANDIDATE",5546691,"K02587.01",154.4,0.2942808,462.6,1426,-0.4,5,11620,2.531,-2.867e-05,203111658.999901
"CANDIDATE",12156347,"K02588.01",393,0.6350608,1343,1035,-0.14,46,7429,3.329,0.0002674,970597072.754157
"CANDIDATE",10468885,"K02589.01",213.9,0.6543326,12160,7198,0.16,5,32190,1.551,-0.0002319,2879882222.52201
"FALSE POSITIVE",5513897,"K02591.01",70.57,0.5643952,7452,7578,-0.04,5,24880,2.204,0.0002162,1584744887.41995
"CANDIDATE",6765135,"K02592.01",463.2,0.3475712,38.56,130,-0.18,5,999,2.453,0.0005761,208018979.833926
"CANDIDATE",8212002,"K02593.01",54.66,0.5045434,457.6,1071,0.28,23,8547,2.869,3.55e-05,440711678.864875
"CANDIDATE",8212002,"K02593.02",29.3,0.5045434,771.6,1370,0.28,23,10790,2.956,1.831e-05,321995794.985198
"CANDIDATE",8004903,"K02594.01",448.4,0.4278276,418.9,539,-0.04,5,4164,2.275,9.942e-05,433611578.188806
"CANDIDATE",8883329,"K02595.01",83.08,0.3899508,753.1,1339,-0.04,15,10340,2.571,8.048e-06,561992798.163142
"CANDIDATE",8883329,"K02595.02",76.48,0.3899508,465.4,922,-0.04,15,7060,3.125,0.0002677,348106659.4823
"FALSE POSITIVE",3644653,"K02596.01",1527,0.5268126,238,343,0.07,5,2792,15.83,0.00374,111379236.817153
"CANDIDATE",12120307,"K02597.01",186.8,0.3450528,899.3,1233,-0.14,5,9357,1.737,-0.0001103,515222870.718404
"CANDIDATE",12120307,"K02597.02",165.6,0.3450528,1275,1678,-0.14,5,12670,1.345,-8.166e-05,628514811.94172
"CANDIDATE",12120307,"K02597.03",204.5,0.3450528,548.6,687,-0.14,5,5275,2.095,-0.000374,383128111.490863
"CANDIDATE",7446631,"K02598.01",171.5,0.4336756,270.6,554,-0.02,5,4465,3.055,-0.0004208,343460967.546521
"FALSE POSITIVE",10664416,"K02599.01",1192,0.3863872,1839,1538,-0.68,5,12860,3.394,-6.913e-05,161687764.268873
"FALSE POSITIVE",9777251,"K02600.01",112.9,0.4348998,4691,5469,-0.16,8,27230,0.6668,-0.0003336,1035131659.39325
"FALSE POSITIVE",7531677,"K02601.01",73.12,0.5247632,3170,4754,0.16,26,32230,2.491,3.078e-05,938182151.701367
"CANDIDATE",10068659,"K02602.01",247.7,0.6041952,725,638,0.16,26,4653,3.093,-0.0002222,614818432.256449
"CANDIDATE",2443393,"K02603.01",133.1,0.4183146,91.24,361,0.1,23,2931,3.549,-0.0002187,247161464.782834
"CANDIDATE",9019191,"K02604.01",532.9,0.6178542,449,320,-0.1,5,2148,2.393,-0.0002265,693031238.884592
