"koi_disposition","kepid","kepoi_name","tce_dor","tce_sradius_prov","tce_fwm_prao","tce_incl_sn"
"CANDIDATE",5376836,"K00182.01",7.1338957,0,-0.0007776,3170.5948372615
"CANDIDATE",9651668,"K00183.01",8.1422541,0,0.001694,728.547717842324
"FALSE POSITIVE",7972785,"K00184.01",9.4544371,0,-0.0004379,1571.89365165491
"FALSE POSITIVE",4178389,"K00185.01",45.252171,0,0.01859,3743.67622259696
"CANDIDATE",12019440,"K00186.01",8.7966714,0,-0.001763,364.450867052023
"FALSE POSITIVE",7023960,"K00187.01",48.558392,0,-0.0002169,3407.29483282675
"CANDIDATE",5357901,"K00188.01",11.514084,0,0.000323,1300.49334728659
"CANDIDATE",11391018,"K00189.01",40.608509,0,0.0004704,3978.20284697509
"FALSE POSITIVE",5771719,"K00190.01",14.611539,0,0.0007134,5067.75700934579
"CANDIDATE",5972334,"K00191.01",26.966814,0,0.001427,1967.2131147541
"CANDIDATE",5972334,"K00191.02",4.1578813,0,0.0002529,19.6274708565636
"CANDIDATE",5972334,"K00191.03",1.8008791,0,9.406e-05,0.907469005140611
"CANDIDATE",5972334,"K00191.04",28.603863,0,-3.766e-05,42.528901734104
"CANDIDATE",7950644,"K00192.01",19.400133,0,1.316e-05,448.868778280543
"FALSE POSITIVE",10799735,"K00193.01",66.804387,0,0.001137,6017.46138347884
"CANDIDATE",10904857,"K00194.01",8.5291605,0,9.224e-05,3126.06284658041
"CANDIDATE",11502867,"K00195.01",9.5572805,0,0.0009451,1670.69840031213
"CANDIDATE",9410930,"K00196.01",5.0063005,0,-0.0004327,956.273320895522
"CANDIDATE",2987027,"K00197.01",35.616387,0,0.0001316,430.59558117195
"FALSE POSITIVE",10666242,"K00198.01",113.75354,0,-0.0002927,4962.30598669623
"CANDIDATE",10019708,"K00199.01",6.9554996,0,0.0004907,458.933333333333
"FALSE POSITIVE",10019708,"K00199.02",2.2070682,0,-0.0009013,28.6189833558255
"CANDIDATE",6046540,"K00200.01",15.285751,0,-0.0002521,1370.12070857501
"CANDIDATE",6849046,"K00201.01",11.048807,0,0.0001861,385.783450704225
"CANDIDATE",7877496,"K00202.01",5.4081727,0,-0.001587,859.396218531286
"CANDIDATE",10619192,"K00203.01",5.6343911,0,0.000807,106.848165027585
"CANDIDATE",9305831,"K00204.01",6.7536168,0,0.001239,369.352014010508
"CANDIDATE",7046804,"K00205.01",24.308403,0,0.002979,2232.81092012133
"CANDIDATE",5728139,"K00206.01",6.6326281,0,7.626e-06,116.644385026738
"CANDIDATE",3762468,"K00208.01",6.7834802,0,-0.0008451,183.739837398374
"CANDIDATE",10723750,"K00209.01",37.096052,0,-0.000125,597.865243495664
"CANDIDATE",10723750,"K00209.02",14.789993,0,-0.0001188,430.913580246914
"FALSE POSITIVE",10602291,"K00210.01",27.1359,0,0.0005884,1144.86528699727
"CANDIDATE",10656508,"K00211.01",199.58844,0,0.0007906,854.562737642586
"CANDIDATE",6300348,"K00212.01",11.730804,0,-0.0008977,104.868154158215
"FALSE POSITIVE",9164836,"K00213.01",69.246703,0,-0.008019,5835.84041857423
"CANDIDATE",11046458,"K00214.01",10.031499,0,0.0002351,529.580988117574
"FALSE POSITIVE",12508335,"K00215.01",52.268918,0,0.0009722,1571.37809187279
"CANDIDATE",6152974,"K00216.01",40.078113,0,0.001078,516.347826086957
"CANDIDATE",6152974,"K00216.02",10.688037,0,0.0004392,8.72991505475386
"CANDIDATE",9595827,"K00217.01",11.723193,0,0.001912,315.229681978799
"FALSE POSITIVE",9838975,"K00218.01",43.71426,0,0.001143,2025.4848894903
"CANDIDATE",6305192,"K00219.01",8.8037249,0,-0.0002373,368.839015968925
"CANDIDATE",7132798,"K00220.01",5.1844195,0,-5.631e-06,72.6820603907638
"CANDIDATE",7132798,"K00220.02",5.1375371,0,2.054e-05,3.40118997025074
"CANDIDATE",3937519,"K00221.01",8.8022163,0,-0.0002326,83.2080924855491
"CANDIDATE",3937519,"K00221.02",6.4697112,0,-7.155e-05,3.89273849074514
"CANDIDATE",4249725,"K00222.01",10.508844,0,0.0002262,67.3307086614173
"CANDIDATE",4249725,"K00222.02",17.544856,0,-7.528e-05,40.3743068391867
"CANDIDATE",4545187,"K00223.01",7.7479921,0,0.0001163,74.6016114592659
"CANDIDATE",4545187,"K00223.02",55.000144,0,0.0004907,82.0036764705882
"FALSE POSITIVE",5547480,"K00224.01",4.7853127,0,0.004861,42.2084233261339
"FALSE POSITIVE",5801571,"K00225.01",2.5384353,0,-0.000935,90.024710625569
"CANDIDATE",5959753,"K00226.01",7.9975612,0,0.0003117,118.842645381984
"CANDIDATE",3847907,"K00229.01",7.2132214,0,-0.0008899,109.166127989657
"FALSE POSITIVE",3862246,"K00230.01",8.2225212,0,0.003877,245.518867924528
"FALSE POSITIVE",4043443,"K00231.01",137.05747,0,-0.0008265,1239.14246196404
"CANDIDATE",4833421,"K00232.01",15.112357,0,0,210.739224656875
"CANDIDATE",4833421,"K00232.02",6.7251476,0,0,14.4686791135927
"CANDIDATE",4833421,"K00232.03",13.550419,0,0,136.405456852792
"CANDIDATE",4833421,"K00232.04",20.768084,0,0,19.3795539854272
"CANDIDATE",4833421,"K00232.05",34.447597,0,0,34.2493245851023
"FALSE POSITIVE",5023956,"K00233.01",2.0188102,0,0.06048,58.5063045586809
"CANDIDATE",8491277,"K00234.01",9.4164988,0,-0.0001339,66.6274509803922
"CANDIDATE",8107225,"K00235.01",11.483215,0,-0.0005645,28.2302631578947
"FALSE POSITIVE",8453211,"K00236.01",2.6193316,0,0.02224,30.1876675603217
"CANDIDATE",8041216,"K00237.01",8.7383214,0,-0.00017,92.5616197183099
"CANDIDATE",7219825,"K00238.01",20.667003,0,-1.12e-05,37.2050739957717
"CANDIDATE",7219825,"K00238.02",73.860655,0,-0.0002463,237.284081849588
"CANDIDATE",7219825,"K00238.03",23.725977,0,8.615e-05,9.45489732286851
"CANDIDATE",6383785,"K00239.01",9.061358,0,-0.001668,83.3824975417896
"CANDIDATE",6383785,"K00239.02",4.6886363,0,-0.00037,3.5944469731452
"CANDIDATE",8026752,"K00240.01",5.6456309,0,-0.0001599,25.4924359370176
"CANDIDATE",11288051,"K00241.01",13.730819,0,0.0001222,141.618781809227
"CANDIDATE",11288051,"K00241.02",14.320051,0,-0.000423,136.925766968685
"CANDIDATE",11288051,"K00241.03",5.1634648,0,0.0001142,3.59532374100719
"FALSE POSITIVE",3642741,"K00242.01",9.1737897,0,0.001466,105.314651527962
"FALSE POSITIVE",9592579,"K00243.01",2.0202665,0,0.03197,463.008442056792
"CANDIDATE",4349452,"K00244.01",18.318887,0,-0.0008787,1183.07567127746
"CANDIDATE",4349452,"K00244.02",6.2707192,0,-0.0002248,152.044609665427
"CANDIDATE",8478994,"K00245.01",44.351108,0,-0.0008098,547.355473554736
"CANDIDATE",8478994,"K00245.02",18.912554,0,-5.604e-05,60.2277432712215
"CANDIDATE",11295426,"K00246.01",7.2284538,0,-4.282e-05,66.9391025641026
"CANDIDATE",11295426,"K00246.02",11.39078,0,5.118e-05,16.1217948717949
"CANDIDATE",11852982,"K00247.01",20.521203,0,0.0005753,212.569900316071
"CANDIDATE",5364071,"K00248.01",11.818406,0,0.000292,126.558585114223
"CANDIDATE",5364071,"K00248.02",5.4499884,0,0.0003273,23.5173824130879
"CANDIDATE",5364071,"K00248.03",10.726147,0,-3.725e-06,95.3650579367758
"CANDIDATE",5364071,"K00248.04",38.296782,0,0.0001609,34.0229885057471
"CANDIDATE",9390653,"K00249.01",25.115562,0,0.0005224,210.016694490818
"CANDIDATE",9757613,"K00250.01",21.381888,0,0.001444,267.264983267417
"CANDIDATE",9757613,"K00250.02",29.464341,0,0.001046,463.392857142857
"CANDIDATE",9757613,"K00250.03",129.99564,0,0.0003642,112.920287117491
"CANDIDATE",9757613,"K00250.04",6.1627505,0,0.000243,9.49953445065177
"CANDIDATE",10489206,"K00251.01",11.82161,0,-0.002341,87.1665319320938
"CANDIDATE",10489206,"K00251.02",12.720713,0,-0.0003091,5.45247148288973
"CANDIDATE",11187837,"K00252.01",25.035715,0,0.0001334,177.771060056429
"CANDIDATE",11752906,"K00253.01",14.909108,0,0.0001267,108.092269326683
"CANDIDATE",11752906,"K00253.02",15.340044,0,-0.000606,127.192466156563
"CANDIDATE",5794240,"K00254.01",11.258526,0,0.0003089,1078.74306839187
"CANDIDATE",7021681,"K00255.01",43.936716,0,0.0003092,135.340512664948
"CANDIDATE",7021681,"K00255.02",26.195466,0,0.0005235,7.07772435897436
"FALSE POSITIVE",7021681,"K00255.03",9.1541053,0,-0.0001288,3.27103528499418
"FALSE POSITIVE",11548140,"K00256.01",8.6517657,0,-0.0008784,4.89591719378953
"CANDIDATE",5514383,"K00257.01",12.844873,0,0.0001405,130.272314674735
"FALSE POSITIVE",11231334,"K00258.01",1.9192953,0,-0.0007727,522.281639928699
"FALSE POSITIVE",5790807,"K00259.01",94.138695,0,-0.00258,57491.9820397691
"CANDIDATE",8292840,"K00260.01",53.682828,0,6.138e-05,258.707620979426
