"koi_disposition","kepid","kepoi_name","tce_time0","tce_full_conv","tce_fwm_prao","tce_steff_sn","tce_fwm_prao_sn"
"FALSE POSITIVE",2720514,"K02979.01",2454960,1,-0.0007771,32.0618556701031,-16.5340425531915
"CANDIDATE",9468551,"K02980.01",2454970,1,0.0002029,26.375,1.43900709219858
"CANDIDATE",9076971,"K02981.01",2454970,1,-0.0007531,28.7262569832402,-2.13342776203966
"CANDIDATE",8360640,"K02982.01",2454970,1,-0.0001352,37.0201342281879,-0.926027397260274
"FALSE POSITIVE",5695904,"K02983.01",2454960,1,0.001313,55.515625,8.6953642384106
"CANDIDATE",7918652,"K02984.01",2454970,1,0.0001259,45.4817518248175,1.76577840112202
"FALSE POSITIVE",8847111,"K02985.01",2454970,1,-0.0006398,23.9163498098859,-12.3992248062016
"FALSE POSITIVE",4568298,"K02986.01",2454960,1,4.57e-05,33.6802325581395,0.291082802547771
"FALSE POSITIVE",4374339,"K02987.01",2454970,1,0.0007126,27.9755102040816,18.4611398963731
"CANDIDATE",6636320,"K02989.01",2454970,1,0.0002649,33.8553459119497,0.932746478873239
"CANDIDATE",5520547,"K02990.01",2454970,1,-0.0001042,33.3591160220994,-0.647204968944099
"FALSE POSITIVE",4848424,"K02991.01",2454960,1,-0.0003459,22.1321585903084,-4.28094059405941
"CANDIDATE",8509442,"K02992.01",2454990,1,-0.0008268,42.0425531914894,-0.787428571428571
"FALSE POSITIVE",11304987,"K02993.01",2454960,1,0.003531,27.9952606635071,23.6979865771812
"CANDIDATE",11244137,"K02994.01",2454960,1,1.689e-06,62.8809523809524,0.0272859450726979
"CANDIDATE",3848275,"K02995.01",2454960,1,0.0003614,26.3991769547325,1.41725490196078
"CANDIDATE",12021625,"K02996.01",2454970,1,-0.0006592,33.625,-1.21176470588235
"FALSE POSITIVE",9777256,"K02997.01",2454970,1,-0.0003196,30.1640211640212,-3.58698092031425
"CANDIDATE",4175630,"K02998.01",2454970,1,-0.0005242,30.5104166666667,-0.828120063191153
"FALSE POSITIVE",7433585,"K02999.01",2454960,1,0.0007992,33.4254143646409,13.9476439790576
"FALSE POSITIVE",5702939,"K03000.01",2454980,1,0.001225,55.4950495049505,9.49612403100775
"FALSE POSITIVE",11709423,"K03001.01",2454960,1,0.003453,26.1650485436893,19.5084745762712
"CANDIDATE",3852655,"K03002.01",2454970,1,1.09e-05,50.1842105263158,0.126450116009281
"FALSE POSITIVE",11255231,"K03003.01",2454970,1,0.0005418,30.6313131313131,3.0438202247191
"CANDIDATE",6103377,"K03004.01",2454970,1,-0.0001942,74.7088607594937,-0.332534246575342
"CANDIDATE",6103377,"K03004.02",2454970,1,-0.0001434,74.7088607594937,-0.283399209486166
"FALSE POSITIVE",3747262,"K03005.01",2454970,1,0.0002687,36.9661016949153,11.103305785124
"CANDIDATE",8758136,"K03006.01",2454960,1,-0.0003437,26.1724137931034,-4.17111650485437
"CANDIDATE",10190075,"K03007.01",2454970,1,-0.0001395,67.2142857142857,-0.677184466019418
"CANDIDATE",9070666,"K03008.01",2454960,1,2.057e-07,74.5316455696203,0.00663548387096774
"CANDIDATE",12405333,"K03009.01",2454970,1,-8.589e-05,30.0632183908046,-0.626934306569343
"CANDIDATE",3642335,"K03010.01",2455010,1,-0.000963,50.1052631578947,-1.21590909090909
"FALSE POSITIVE",3328052,"K03011.01",2454960,1,0.0005658,23.969111969112,3.98450704225352
"FALSE POSITIVE",7109851,"K03012.01",2454960,1,-0.0002221,33.3954802259887,-6.83384615384615
"CANDIDATE",11565544,"K03013.01",2454960,1,-0.0002284,37.0516129032258,-1.40987654320988
"CANDIDATE",7347246,"K03014.01",2454970,1,-0.0004359,26.1059322033898,-0.620940170940171
"CANDIDATE",11403530,"K03015.01",2454970,1,-7.189e-05,49.5641025641026,-2.14597014925373
