"koi_disposition","kepid","kepoi_name","boot_mesthresh","tce_fwm_prao","tce_ror_sn","tce_dicco_mdec_sn"
"CANDIDATE",3762468,"K00208.01",7.2111,-0.0008451,169.100333438547,0.345767511177347
"CANDIDATE",10723750,"K00209.01",7.4076,-0.000125,189.896403503468,-0.0280994318181818
"CANDIDATE",10723750,"K00209.02",7.2025,-0.0001188,123.174614421529,0.282974767596282
"FALSE POSITIVE",10602291,"K00210.01",7.4545,0.0005884,12.1228236417427,-0.69636231884058
"CANDIDATE",10656508,"K00211.01",7.3029,0.0007906,34.4980786029379,0.0757
"CANDIDATE",6300348,"K00212.01",7.484,-0.0008977,65.2092267341869,-1.59208211143695
"FALSE POSITIVE",9164836,"K00213.01",7.307,-0.008019,29.8108808163425,-0.0720044843049327
"CANDIDATE",11046458,"K00214.01",7.2615,0.0002351,25.2432442330712,0.61789029535865
"FALSE POSITIVE",12508335,"K00215.01",7.106,0.0009722,8.19963211683227,-2.68642149929279
"CANDIDATE",6152974,"K00216.01",7.4283,0.001078,42.1194673658459,1.70725593667546
"CANDIDATE",6152974,"K00216.02",7.4958,0.0004392,2.42666460344189,-0.503846153846154
"CANDIDATE",9595827,"K00217.01",7.4623,0.001912,396.673623190035,-0.297578475336323
"FALSE POSITIVE",9838975,"K00218.01",7.214,0.001143,666.596201650378,0.0784113263785395
"CANDIDATE",6305192,"K00219.01",7.1656,-0.0002373,177.007628768423,-1.1005710102489
"CANDIDATE",7132798,"K00220.01",6.7844,-5.631e-06,55.2124965220702,-0.0986761904761905
"CANDIDATE",7132798,"K00220.02",6.7945,2.054e-05,2.43741444422835,-1.23424511545293
"CANDIDATE",3937519,"K00221.01",7.2318,-0.0002326,41.9267056969393,0.00431291208791209
"CANDIDATE",3937519,"K00221.02",7.2459,-7.155e-05,2.01700500566538,-0.682864406779661
"CANDIDATE",4249725,"K00222.01",7.2339,0.0002262,20.8234980256386,1.02536551724138
"CANDIDATE",4249725,"K00222.02",7.2435,-7.528e-05,7.55357404158373,0.019905601659751
"CANDIDATE",4545187,"K00223.01",7.2486,0.0001163,29.5076135457064,1.17102594339623
"CANDIDATE",4545187,"K00223.02",7.2098,0.0004907,5.1513049479305,1.67239263803681
"FALSE POSITIVE",5547480,"K00224.01",7.1715,0.004861,3.08982465392422,-43.5170316301703
"FALSE POSITIVE",5801571,"K00225.01",7.0892,-0.000935,124.166216148162,4.38085106382979
"CANDIDATE",5959753,"K00226.01",7.0985,0.0003117,38.432417361792,1.01694323144105
"CANDIDATE",3847907,"K00229.01",7.1045,-0.0008899,58.7741706357658,-0.820263929618768
"FALSE POSITIVE",3862246,"K00230.01",7.2241,0.003877,9.57873999406938,2.04938118811881
"FALSE POSITIVE",4043443,"K00231.01",7.1858,-0.0008265,2.33874222449464,-0.775945578231293
"CANDIDATE",4833421,"K00232.01",7.1893,0,65.7978360774173,0.724527421236873
"CANDIDATE",4833421,"K00232.02",7.1045,0,8.96079393684347,-0.0735343511450382
"CANDIDATE",4833421,"K00232.03",7.1766,0,27.2483490563347,-1.78360294117647
"CANDIDATE",4833421,"K00232.04",7.1559,0,3.77630274364755,-0.438952380952381
"CANDIDATE",4833421,"K00232.05",7.221,0,4.19063304529104,0.469965694682676
"FALSE POSITIVE",5023956,"K00233.01",7.1393,0.06048,8.60640806096549,121.886056971514
"CANDIDATE",8491277,"K00234.01",7.2392,-0.0001339,26.8761524279239,0.478433070866142
"CANDIDATE",8107225,"K00235.01",7.1774,-0.0005645,7.50438446909352,-0.561106796116505
"FALSE POSITIVE",8453211,"K00236.01",7.2061,0.02224,2.80191498121888,0
"CANDIDATE",8041216,"K00237.01",7.2011,-0.00017,35.3901874547117,0.0853529411764706
"CANDIDATE",7219825,"K00238.01",7.1577,-1.12e-05,8.02897423934464,0.0180065693430657
"CANDIDATE",7219825,"K00238.02",6.7933,-0.0002463,10.2954006731218,-0.181419939577039
"CANDIDATE",7219825,"K00238.03",7.1778,8.615e-05,1.58451333700389,0.0325505050505051
"CANDIDATE",6383785,"K00239.01",7.0792,-0.001668,32.6447215923532,-1.80991228070175
"CANDIDATE",6383785,"K00239.02",7.0114,-0.00037,2.89375744662564,-0.105690909090909
"CANDIDATE",8026752,"K00240.01",7.2297,-0.0001599,21.4785601764346,0.262364779874214
"CANDIDATE",11288051,"K00241.01",7.0119,0.0001222,28.7502094327174,1.60451388888889
"CANDIDATE",11288051,"K00241.02",7.0733,-0.000423,19.7712490342312,-0.430248447204969
"CANDIDATE",11288051,"K00241.03",6.963,0.0001142,2.25651799508915,-0.0912044444444444
"FALSE POSITIVE",3642741,"K00242.01",7.3297,0.001466,66.7194620495792,-0.201174089068826
"FALSE POSITIVE",9592579,"K00243.01",7.4415,0.03197,8.19130822137666,20.0765432098765
